Unit,Group Name/Partner,Date and Time,Borough,LocationType,Location,Event Name,Event Type,Category,Classification,Attendance,Audience
Recreation,NYC Parks and Recreation,11/11/2019 10:00:00 AM,Queens,Park,Beach 32nd Street Football Fields,Girls Flag Football Invitational,Community Based Event,Sport,Tier 1,150,Children;#Teens
Recreation,,11/15/2019 06:00:00 PM,Manhattan,Recreation Center,Asser Levy Recreation Center,Art Inspired: Jean- Michael Basquiat,Community Based Event,Arts/Culture,AC&F,17,Young Adult;#Adults;#Teens;#General Public;#Seniors
Recreation,Councilman Espinal,10/26/2019 12:00:00 AM,Brooklyn,Park,Irving Square Park,Avengers Endgame(2019),Community Based Event,Mobile Unit,M.U.T.S,256,General Public
Recreation,,10/04/2019 12:00:00 AM,Brooklyn,Park,McCarren Park,What We Do in the Shadows(2014),Community Based Event,Mobile Unit,M.U.T.S,117,General Public
Urban Park Rangers,NYC Parks and Recreation,11/23/2019 11:15:00 AM,Staten Island,Park,Ocean Breeze Park,Ocean Breeze Park Tree Planting Hike,Community Based Event,Nature,,28,General Public
Recreation,,10/18/2019 12:00:00 AM,Brooklyn,Park,Sunset Park,The Dead Don't Die(2019),Community Based Event,Mobile Unit,M.U.T.S,23,General Public
Recreation,Councilman Brannan,10/19/2019 12:00:00 AM,Brooklyn,Park,Dyker Beach Park,Shazam(2019),Community Based Event,Mobile Unit,M.U.T.S,34,General Public
Recreation,Councilman Espinal,10/12/2019 12:00:00 AM,Brooklyn,Park,Irving Square Park,Toy Story 4(2019),Community Based Event,Mobile Unit,M.U.T.S,304,General Public
Recreation,,10/13/2019 12:00:00 AM,Brooklyn,Park,Sunset Park,The Curse of La Llorona,Community Based Event,Mobile Unit,M.U.T.S,72,General Public
Recreation,,10/11/2019 12:00:00 AM,Brooklyn,Park,Maria Hernandez Park,La Leyenda de la Llorona(2011),Community Based Event,Mobile Unit,M.U.T.S,143,General Public
Recreation,Ocean Breeze Athletic Complex,07/11/2018 07:00:00 PM,Staten Island,Other,Franklin D. Roosevelt Boardwalk and Beach,Twilight Run,Community Based Event,Fitness,Tier 2,54,General Public
Recreation,,11/29/2019 02:00:00 PM,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Final 4 Fridays,Tournament/Competition,Sport,Tier 1,33,Children;#Teens;#General Public
Urban Park Rangers,John Kilcullen,11/29/2019 12:00:00 PM,Staten Island,Park,Jones Woods Park,"Staten Island Northshore ""Greenbelt Crescent"" Black Friday Walk",Agency Produced Event,Nature,,5,General Public
Urban Park Rangers,Greenbelt Conservancy,11/20/2019 06:00:00 PM,Staten Island,Nature Center,Greenbelt Nature Center,Family Science Night,Local Event,Nature,,30,General Public
Recreation,,11/09/2019 05:00:00 PM,Queens,Recreation Center,Al Oerter Recreation Center,Al Oerter Sleep Over,Agency Produced Event,Arts/Culture,Play,45,Children
Recreation,,10/10/2019 12:00:00 AM,Brooklyn,Park,Bushwick Inlet Park,Fears of the Dark(2007),Community Based Event,Mobile Unit,M.U.T.S,5,General Public
Recreation,,11/15/2019 06:00:00 PM,Queens,Recreation Center,Al Oerter Recreation Center,MYM: Art Workshop Series- Water Color,Agency Produced Event,Arts/Culture,AC&F,20,General Public;#Adults;#Seniors;#Young Adult
Recreation,,10/18/2019 06:30:00 PM,Queens,Recreation Center,Al Oerter Recreation Center,MYM: Art Workshop Series- Portrait,Agency Produced Event,Arts/Culture,AC&F,20,Young Adult;#Adults;#Seniors;#General Public
Recreation,,10/31/2019 05:00:00 PM,Queens,Recreation Center,Vic Hanson,Halloween Party,Local Event,Family Festival,Dance,40,Children;#Adults;#Tot
Urban Park Rangers,Snug Harbor,11/02/2019 11:00:00 AM,Staten Island,Playground,Naples Playground,Pumpkin Smash,Local Event,Nature,,200,General Public
Urban Park Rangers,121 Precinct Community Board,11/13/2019 07:00:00 PM,Staten Island,Other,121 Precinct,121 Precinct Community Board Meeting,Community Based Event,Nature,,80,General Public
Recreation,,07/10/2018 08:30:00 PM,Bronx,Recreation Center,West Bronx Recreation Center,Movies Under The Stars: Paddington,Community Based Event,Mobile Unit,Movies,21,General Public
Urban Park Rangers,120 Precinct Community Meeting,11/20/2019 06:30:00 PM,Staten Island,School,PS 57,120 Precinct Community Board Meeting,Community Based Event,Nature,,40,General Public
Recreation,,11/23/2019 10:00:00 AM,Queens,Recreation Center,Al Oerter Recreation Center,Turkey Bowl,Tournament/Competition,Sport,Tier 1,17,Children;#Teens
Recreation,,12/13/2019 06:00:00 PM,Queens,Recreation Center,Al Oerter Recreation Center,MYM: Art Workshop Series-Print Making,Agency Produced Event,Arts/Culture,AC&F,37,Young Adult;#Adults;#Seniors
Recreation,,10/07/2019 04:30:00 PM,Queens,Recreation Center,Detective Keith Williams,Tie Dye at DKW,Community Based Event,Family Festival,,45,Children;#Adults;#Young Adult
Recreation,,11/07/2019 04:00:00 PM,Queens,Recreation Center,Al Oerter Recreation Center,Career Development Workshop,Agency Produced Event,Academic/Out of School time,Lecture/Panel/Talk,12,Young Adult;#Teens
Recreation,,11/22/2019 06:00:00 PM,Queens,Recreation Center,Vic Hanson,Family Movie Night,Local Event,Family Festival,Movies,25,Children;#Adults
Recreation,"Ruth hernandez, Jamaa Jones, Volunteer: Lizzette Butler",09/14/2019 09:00:00 AM,Queens,Recreation Center,Roy Wilkins Recreation Center,Fitness Buffet,Open House,Fitness,Fitness,47,Young Adult;#Adults;#General Public;#Seniors
Urban Park Rangers,General Public,07/13/2020 11:30:00 AM,Staten Island,Park,Clove Lakes Park,Photo Scavenger Hunt,Community Based Event,Nature,Summer 2020,10,General Public
Recreation,Public Theatre,10/28/2019 12:00:00 AM,Queens,Recreation Center,Lost Battalion Hall Recreation Center,"Performance of ""Measure For Measure"" by public Theatre",Community Based Event,Arts/Culture,Play,55,Adults
Recreation,New York Presbyterian (CHALK),12/14/2019 11:00:00 AM,Manhattan,Recreation Center,Highbridge Recreation Center,Family Wellness Day,Community Based Event,Fitness,,45,General Public
Recreation,Lacy Saunders & Slyks Angels,12/27/2019 12:00:00 AM,Bronx,Recreation Center,St. Mary's Recreation Center,Kwanza Celebration,Local Event,Performance,AC&F,75,Children;#Adults;#Teens;#Young Adult;#Seniors;#General Public
Recreation,,07/05/2018 11:00:00 AM,Bronx,Other,St Andrews Summer camp,Summer Blast,Community Based Event,Mobile Unit,Music,40,Children
Recreation,,12/13/2019 06:00:00 PM,Queens,Recreation Center,Vic Hanson,Family Movie Night,Community Based Event,Family Festival,Movies,25,Children;#Adults;#Teens
Recreation,St. Mary's Senior Marlins,12/18/2019 12:00:00 PM,Bronx,Recreation Center,St. Mary's Recreation Center,Senior Holiday Party,Local Event,Family Festival,,50,Seniors;#Adults
Recreation,,12/16/2019 06:00:00 PM,Manhattan,Recreation Center,Alfred E. Smith Recreation Center,Holiday Classic Badminton Doubles Tournament,Tournament/Competition,Sport,Tier 3,28,Adults
Recreation,Soccer Program,12/21/2019 11:00:00 AM,Bronx,Recreation Center,St. Mary's Recreation Center,Soccer Luncheon,Tournament/Competition,Family Festival,Play,75,Children;#Teens
Recreation,,12/13/2019 05:30:00 PM,Queens,Recreation Center,Detective Keith Williams,Family Paint Night,Community Based Event,Arts/Culture,,20,Children;#Adults
Urban Park Rangers,NYC Audubon,12/15/2019 08:00:00 AM,Manhattan,Park,Central Park,Christmas Bird Count,Community Based Event,Nature,,150,General Public
Urban Park Rangers,Greenbelt,12/14/2019 07:30:00 AM,Staten Island,Park,High Rock Park,Christmas Bird Count,Community Based Event,Nature,,0,General Public
Recreation,NYPD Community Affairs,12/22/2019 09:00:00 AM,Queens,Recreation Center,Al Oerter Recreation Center,Breakfast with Santa,Community Based Event,Family Festival,,50,Children
Public Programs,Parent Coordinator (Farida Mooklal),12/17/2019 09:00:00 AM,Queens,School,PS/IS 116Q  (T4/T5),Literacy Event,Community Based Event,Performance,Play,40,Children
Urban Park Rangers,Greenbelt Nature Center,12/19/2019 06:00:00 PM,Staten Island,Nature Center,Greenbelt Nature Center,Family science night,Community Based Event,Academic/Out of School time,,9,Children;#Adults;#Teens
Recreation,,07/03/2018 11:00:00 AM,Bronx,Other,P.S. 89,Field Day,Community Based Event,Mobile Unit,Play,53,Children
Recreation,,01/10/2020 05:00:00 PM,Queens,Recreation Center,Lost Battalion Hall Recreation Center,Girls World Mother & Daughter Paint Night,Local Event,Arts/Culture,,24,Children;#Adults;#Teens;#General Public
Recreation,PAL,12/22/2019 11:00:00 AM,Manhattan,Recreation Center,Asser Levy Recreation Center,Asser Levy Winter Girls Basketball Classic,Tournament/Competition,Sport,Play,110,Teens
Urban Park Rangers,Urban Park Rangers,09/14/2019 12:00:00 PM,Manhattan,Park,Central Park,Raptor Fest,Agency Produced Event,Family Festival,,"4,000",General Public
Recreation,,01/08/2020 09:00:00 AM,Manhattan,Recreation Center,Chelsea Recreation Center,Chelsea Fitness Marathon,Local Event,Fitness,,139,Adults;#Teens;#Young Adult
Urban Park Rangers,Red Hook Recreation Center,12/19/2019 04:00:00 PM,Brooklyn,Recreation Center,Red Hook Recreation Center,Red Hook Recreation Center Holiday Event,Community Based Event,Family Festival,Lecture/Panel/Talk,150,General Public
Urban Park Rangers,PS. 94,01/10/2020 09:30:00 AM,Brooklyn,School,PS 94,Career Day,Community Based Event,Nature,Lecture/Panel/Talk,300,Children
Recreation,,12/23/2019 09:30:00 AM,Queens,Recreation Center,Roy Wilkins Recreation Center,Christmas Break Fun,Agency Produced Event,Family Festival,AC&F,55,Tot;#Children;#Teens
Recreation,"City Councilman, Daneek Miller",12/21/2019 12:00:00 PM,Queens,Recreation Center,Roy Wilkins Recreation Center,Christmas Toy Drive Give Away,Local Event,Family Festival,AC&F,325,Tot;#Children;#Teens;#General Public
Recreation,,12/21/2019 10:00:00 AM,Manhattan,Recreation Center,Alfred E. Smith Recreation Center,Pickleball Showcase,Tournament/Competition,Sport,Tier 3,27,Seniors;#Adults
Urban Park Rangers,Williamsbridge Oval Recreation Center,12/06/2019 04:00:00 PM,Bronx,Recreation Center,Williamsbridge Oval Recreation Center,Literacy Day,Agency Produced Event,Academic/Out of School time,Lecture/Panel/Talk,29,Children;#Teens;#Tot
Recreation,,07/11/2018 11:00:00 AM,Bronx,Park,Patterson Houses,,Community Based Event,Mobile Unit,Play,2,Children
Recreation,Shape Up NYC,01/11/2020 11:00:00 AM,Manhattan,Recreation Center,Highbridge Recreation Center,Shape Up Kick off,Agency Produced Event,Fitness,Fitness,50,General Public
Recreation,,11/29/2019 11:00:00 AM,Queens,Recreation Center,Sorrentino Recreation Center,Scrabble Tournament,Tournament/Competition,Academic/Out of School time,,45,Children
Recreation,,12/20/2019 03:00:00 PM,Queens,Recreation Center,Sorrentino Recreation Center,Queens Borough Afterschool Holiday Party,Agency Produced Event,Academic/Out of School time,,150,Children
Recreation,,12/27/2019 11:00:00 AM,Queens,Recreation Center,Sorrentino Recreation Center,Double Dutch Holiday Classic,Tournament/Competition,Sport,Fitness,195,Children;#Teens
Recreation,,12/07/2019 11:00:00 AM,Queens,Recreation Center,Sorrentino Recreation Center,Mommy & Me Double Dutch Event,Local Event,Sport,Fitness,120,Adults;#Children;#Teens;#Young Adult;#Tot;#Seniors
Recreation,Build on,01/18/2020 12:00:00 PM,Bronx,Recreation Center,Hunts Point Recreation Center,MLK Service Day -Dreaming,Local Event,Academic/Out of School time,Play,75,Teens;#Adaptive;#Children;#General Public
Public Programs,Rufus King Stakeholders,12/14/2019 02:00:00 PM,Queens,Other,Grace Episcopal Church /Rufus King Park,Holiday On the Avenue,Community Based Event,Family Festival,Play,100,General Public
Urban Park Rangers,General Public,07/14/2020 02:45:00 AM,Staten Island,Park,Von Briesen Park,Know your park!,Community Based Event,Nature,Summer 2020,5,General Public
Recreation,Pubic Programs,12/27/2019 10:00:00 AM,Queens,Recreation Center,Lost Battalion Hall Recreation Center,Holiday Classic,Tournament/Competition,Sport,Play,80,Children;#Teens
Recreation,NYPD 101st precinct,12/21/2019 11:00:00 AM,Queens,Recreation Center,Sorrentino Recreation Center,NYPD Toy for Tots event,Local Event,Family Festival,,220,General Public
Recreation,,11/03/2019 12:00:00 AM,Queens,Park,Fort Totten Park,Fort Totten Halloween Festival,Community Based Event,Family Festival,Play,"2,500",Children;#Teens
Recreation,,07/06/2018 10:00:00 AM,Bronx,Park,Van Nest Park,Van nest Playground,Community Based Event,Mobile Unit,Play,45,Children;#Teens;#General Public
Recreation,"PFP, MeKong",02/01/2020 12:00:00 PM,Bronx,Recreation Center,St. James Recreation Center,Lunar New Year,Community Based Event,Arts/Culture,AC&F,100,General Public
Recreation,,02/03/2020 07:30:00 AM,Bronx,Recreation Center,St. James Recreation Center,Winter Open House Week,Open House,Fitness,Fitness,200,Tot;#Children;#Young Adult;#Adults;#Teens;#Adaptive;#Seniors;#General Public
Recreation,,02/14/2020 09:00:00 AM,Bronx,Recreation Center,St. James Recreation Center,Spin for Life: Healthy Heart Spin Off,Local Event,Fitness,Fitness,75,Adults;#Young Adult;#Seniors
Recreation,Linc Literacy INC & P.S.116Q,01/16/2020 09:00:00 AM,Queens,Recreation Center,Detective Keith Williams,Literacy Building,Community Based Event,Performance,Play,17,Children
Recreation,NY Presbyterian,01/18/2020 11:00:00 AM,Manhattan,Recreation Center,Highbridge Recreation Center,Family Wellness Day,Agency Produced Event,Family Festival,Fitness,22,Young Adult;#Children;#Adults;#Teens;#Seniors;#Adaptive;#General Public
Recreation,Queens Law Associates,12/14/2019 11:00:00 AM,Queens,Recreation Center,Sorrentino Recreation Center,Zumbathon,Community Based Event,Fitness,Dance,65,General Public
Recreation,,01/10/2020 06:00:00 PM,Manhattan,Recreation Center,Asser Levy Recreation Center,Neon Glow Spin Challenge,Community Based Event,Fitness,Fitness,30,Adults;#Young Adult;#Seniors;#General Public
Recreation,,01/17/2020 06:00:00 PM,Manhattan,Recreation Center,Asser Levy Recreation Center,Art Inspired: Banksy,Community Based Event,Arts/Culture,AC&F,30,Young Adult;#Adults;#Teens;#General Public;#Seniors
Recreation,York College,12/23/2019 12:00:00 PM,Queens,Recreation Center,Flushing Meadows Corona Park Pool & Rink,NYC Parks Swim Clinic,Community Based Event,Sport,Tier 1,20,Children
Urban Park Rangers,Greenbelt,01/15/2020 06:00:00 PM,Staten Island,Nature Center,Greenbelt Nature Center,Family Science Night,Agency Produced Event,Academic/Out of School time,,30,Children;#Adults;#Teens
Recreation,,07/10/2018 12:00:00 PM,Bronx,Other,Francis Martin Library,Summer reading in the park,Community Based Event,Mobile Unit,Play,5,Children
Recreation,NY Presbyterian/HUB,05/18/2019 12:00:00 PM,Manhattan,Recreation Center,Highbridge Recreation Center,Teens Unite,Community Based Event,Arts/Culture,,300,Teens
Recreation,,01/17/2020 06:00:00 PM,Queens,Recreation Center,Vic Hansen Field House,Parent Meeting / Paint Night,Community Based Event,Arts/Culture,AC&F,34,Children;#Adults;#Young Adult;#Teens
Urban Park Rangers,Greenbelt Nature Center,01/19/2020 11:00:00 AM,Staten Island,Nature Center,Greenbelt Nature Center,Winter Wilderness Skills,Local Event,Nature,,62,Children;#Young Adult;#Adults;#Teens
Recreation,,01/29/2020 06:30:00 PM,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Round Robin Pickleball Tournament,Tournament/Competition,Sport,Tier 3,20,Young Adult;#Adults;#Seniors
Recreation,,03/07/2020 10:00:00 AM,Manhattan,Recreation Center,Thomas Jefferson Recreation Center,Thomas Jefferson 8 Ball Pool Tournament,Tournament/Competition,Arts/Culture,,25,Young Adult;#Adults
Recreation,,01/20/2020 10:00:00 AM,Queens,Recreation Center,Lost Battalion Hall,Borough Spelling Bee,Tournament/Competition,Academic/Out of School time,Awards,30,Children
Recreation,,11/27/2019 06:00:00 PM,Manhattan,Recreation Center,Gertrude Ederle Recreation Center,Art Inspired By: Emily Carr,Community Based Event,Arts/Culture,AC&F,12,General Public
Recreation,,10/30/2019 06:00:00 PM,Manhattan,Recreation Center,Gertrude Ederle Recreation Center,Art Inspired By: Medusa,Community Based Event,Arts/Culture,AC&F,18,General Public
Recreation,,01/29/2020 06:00:00 PM,Manhattan,Recreation Center,Gertrude Ederle Recreation Center,Art Inspired By: Betye Saar,Community Based Event,Arts/Culture,AC&F,18,General Public
Recreation,,01/20/2020 11:00:00 AM,Queens,Recreation Center,Lost Battalion Hall Recreation Center,Are you the Missing Piece? Jigsaw Puzzle Competition,Community Based Event,Academic/Out of School time,Play,120,Children
Recreation,"Imagine Nation, Historic Harlem Parks",05/25/2018 08:30:00 PM,Manhattan,Park,Marcus Garvey Park,Movies Under the Stars: Lilies of the Field,Community Based Event,Mobile Unit,Movies,40,General Public
Recreation,,07/05/2018 11:00:00 AM,Bronx,Recreation Center,St. James Recreation Center,,Community Based Event,Mobile Unit,Play,0,General Public;#Children
Recreation,,02/07/2020 06:00:00 PM,Manhattan,Recreation Center,Highbridge Recreation Center,Off The Hook Open Mat,Open House,Fitness,Fitness,15,General Public
Recreation,,08/22/2020 09:00:00 AM,Manhattan,Park,Thomas Jefferson Park,Thomas Jefferson Track & Field Day,Agency Produced Event,Sport,Tier 2,100,Children;#Teens;#Seniors;#General Public
Recreation,,01/31/2020 07:00:00 PM,Manhattan,Recreation Center,Jackie Robinson Recreation Center,Line Dance,Community Based Event,Fitness,Fitness,16,Adults;#Seniors;#General Public;#Children
Urban Park Rangers,Staten Island Zoo,02/02/2020 06:00:00 AM,Staten Island,Park,Barrett Park,Groundhogs Day,Community Based Event,Nature,,110,General Public
Urban Park Rangers,Greenbelt Nature Center,02/04/2020 05:00:00 PM,Staten Island,School,P.S.54,Family Science Night,Agency Produced Event,Academic/Out of School time,,40,Children;#Adults
Recreation,,01/17/2020 03:00:00 PM,Manhattan,Recreation Center,J. Hood Wright Recreation Center,Bingo Time!,Local Event,Arts/Culture,,15,Young Adult;#Adults;#Teens;#Seniors
Recreation,NY Presbyterian,02/15/2020 11:00:00 AM,Manhattan,Recreation Center,Highbridge Recreation Center,Family Wellness Day,Agency Produced Event,Fitness,Fitness,16,Young Adult;#Adults;#Teens;#Children;#General Public;#Seniors;#Adaptive;#Tot
Urban Park Rangers,Alley Pond Environmental Center,01/11/2020 11:00:00 AM,Queens,Park,Alley Pond Park,Alley Pond Environmental Center Ribbon Cutting Ceremony,Community Based Event,Nature,,212,General Public
Urban Park Rangers,Parks Marketing and Special Events and Recreation,02/01/2020 11:00:00 AM,Manhattan,Park,Central Park,Winter Jam,Agency Produced Event,Sport,Play,650,Tot;#Children;#Young Adult;#Adults;#Teens
Recreation,,02/05/2020 09:00:00 AM,Queens,Recreation Center,Lost Battalion Hall Recreation Center,Lunar New Year Festival,Community Based Event,Arts/Culture,,150,General Public;#Seniors;#Adults
Recreation,,07/12/2018 08:30:00 PM,Bronx,Recreation Center,Williamsbridge Oval Recreation Center,Movies Under The Stars: Jumanji: Welcome To The Jungle,Community Based Event,Mobile Unit,Movies,283,General Public
Recreation,IFC,02/12/2020 06:00:00 PM,Manhattan,Recreation Center,Tony Dapolito Recreation Center,A Conversation with Alexi Pappas and Jeremy Teicher,Agency Produced Event,Arts/Culture,AC&F,40,Young Adult;#Adults;#Teens;#Adaptive;#Seniors;#General Public
Urban Park Rangers,Borough President's Office,01/26/2020 01:00:00 PM,Staten Island,School,Tottenville High School,Direct Connect,Local Event,Arts/Culture,,40,General Public
Recreation,,02/13/2020 06:00:00 PM,Queens,Recreation Center,Lost Battalion Hall Recreation Center,SHAPE UP- Galentines Day: Silent Disco Dance Party,Agency Produced Event,Arts/Culture,Dance,70,General Public
Urban Park Rangers,Linda Ogawa; Brittany Nulph,02/15/2020 11:00:00 AM,Bronx,Playground,Brady Playground,Winter Fest (Bronx),Agency Produced Event,Family Festival,Play,200,Children;#Tot;#Young Adult;#Teens;#Adults
Urban Park Rangers,Greenbelt Conservancy,02/16/2020 01:00:00 PM,Staten Island,Park,High Rock Park,Civilian Conservation Corps Volunteer Project,Local Event,Academic/Out of School time,,18,Young Adult;#Adults;#Teens
Urban Park Rangers,Greenbelt Conservancy,02/19/2020 06:00:00 PM,Staten Island,Nature Center,Greenbelt Nature Center,Family Science Night,Community Based Event,Academic/Out of School time,,30,Children;#Young Adult;#Teens;#Adults;#General Public
Recreation,,02/20/2020 07:00:00 PM,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Tango Workout at Tony Dapolito,Community Based Event,Arts/Culture,Dance,14,Adults;#Seniors
Recreation,,02/18/2020 06:00:00 PM,Manhattan,Recreation Center,Alfred E. Smith Recreation Center,King of the Net,Tournament/Competition,Sport,Tier 2,13,Teens
Recreation,,02/15/2020 03:00:00 PM,Manhattan,Recreation Center,Jackie Robinson Recreation Center,Youth Basketball league Championship & skills challenge,Tournament/Competition,Sport,Tier 1,46,Teens
Recreation,,02/14/2020 04:00:00 PM,Manhattan,Recreation Center,Asser Levy Recreation Center,Glow in the Dark Paint Night Valentines Day Special,Community Based Event,Arts/Culture,AC&F,80,Tot;#Children;#Young Adult;#Adults;#Teens;#Seniors;#Adaptive;#General Public
Recreation,,07/12/2018 09:00:00 PM,Queens,Recreation Center,Lost Battalion Hall Recreation Center,"Movies Under The Stars ""Despicable Me 3""",Community Based Event,Mobile Unit,Movies,153,General Public
Urban Park Rangers,Public,02/23/2020 11:00:00 AM,Brooklyn,Park,Marine Park,Volunteer Clean Up,Local Event,Nature,,7,General Public
Recreation,,02/14/2020 07:30:00 PM,Manhattan,Recreation Center,Jackie Robinson Recreation Center,Valentines Paint Night,Community Based Event,Arts/Culture,,68,General Public
Recreation,Hunts Point Recreation Center,03/17/2020 04:00:00 PM,Bronx,Recreation Center,Hunts Point Recreation Center,Family Dodgeball,Local Event,Sport,Tier 3,75,Children;#Teens;#General Public
Recreation,,02/21/2020 06:00:00 PM,Manhattan,Recreation Center,Asser Levy Recreation Center,Art Inspired : Georges Seurat,Community Based Event,Arts/Culture,AC&F,30,Young Adult;#Adults;#Seniors;#General Public
Recreation,Google and D10 community board,02/22/2020 11:00:00 AM,Manhattan,Recreation Center,Jackie Robinson Recreation Center,Code Next,Community Based Event,Academic/Out of School time,,55,Children;#Teens
Recreation,,10/29/2019 10:00:00 AM,Manhattan,Recreation Center,Jackie Robinson Recreation Center,Toddlers Halloween Party,Community Based Event,Family Festival,,88,Tot
Urban Park Rangers,Zimmer Club,02/29/2020 09:00:00 AM,Staten Island,Other,4411 Arthur Kill Road,Zimmer Club,Community Based Event,Nature,,60,Children;#Young Adult;#Adults;#Teens;#Tot
Recreation,Strictly Tango NYC Dance School,02/27/2020 07:00:00 PM,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Tango Workout,Agency Produced Event,Arts/Culture,Dance,11,Young Adult;#Teens;#Adults;#Adaptive;#General Public;#Seniors
Urban Park Rangers,Greenbelt Conservancy,03/03/2020 05:00:00 PM,Staten Island,School,PS 54,Family Science Night Out,Agency Produced Event,Academic/Out of School time,,40,Children;#Adults
Recreation,,02/21/2020 06:30:00 PM,Manhattan,Recreation Center,Tony Dapolito Recreation Center,A Conversation with Andre Aciman,Agency Produced Event,Academic/Out of School time,Lecture/Panel/Talk,143,Young Adult;#Adults;#Teens;#Adaptive;#Seniors;#General Public
Recreation,,07/12/2018 11:00:00 AM,Bronx,Recreation Center,West Bronx Recreation Center,West Bronx Recreation center,Community Based Event,Mobile Unit,Play,36,Children;#General Public
Recreation,,02/21/2020 04:00:00 PM,Manhattan,Recreation Center,Hansborough Recreation Center,All Star Madness,Tournament/Competition,Sport,Tier 1,73,Children;#Teens;#Adults
Recreation,,12/21/2019 12:00:00 PM,Manhattan,Recreation Center,Jackie Robinson Recreation Center,Holiday Celebration,Community Based Event,Family Festival,,80,General Public
Urban Park Rangers,General Public,02/29/2020 01:00:00 PM,Queens,Park,Alley Pond Park,Alley Pond Winter Activities and Games,Agency Produced Event,Family Festival,Play,800,Tot;#Children;#Young Adult;#Adults;#Teens;#Seniors;#General Public
Recreation,Carol Landes,07/15/2020 08:00:00 AM,Staten Island,Park,Jennifer's Playground,Stronger Than Ever,Open House,Fitness,Summer 2020,11,Seniors
Recreation,,02/28/2020 05:00:00 PM,Manhattan,Recreation Center,Asser Levy Recreation Center,Neon Glow Zumba Fest,Community Based Event,Fitness,Dance,75,Adults;#Young Adult;#Seniors;#General Public
Recreation,,03/05/2020 07:00:00 PM,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Tango Workout at Tony Dapolito!,Community Based Event,Arts/Culture,Dance,6,Adults;#Young Adult;#Seniors
Recreation,,02/27/2020 12:00:00 AM,Manhattan,Recreation Center,Hansborough Recreation Center,"""And Still We Rise""",Community Based Event,Arts/Culture,,18,Young Adult;#Adults;#Seniors
Recreation,,03/17/2020 04:00:00 PM,Bronx,Recreation Center,Hunts Point Recreation Center,Ultimate Dodgeball,Community Based Event,Sport,Tier 3,75,Teens;#Children;#General Public
Recreation,Literacy Inc,03/20/2020 04:30:00 PM,Bronx,Recreation Center,Hunts Point Recreation Center,Happy Birthday Dr. Seuss,Community Based Event,Academic/Out of School time,,50,Tot;#Children;#Adaptive
Recreation,,03/23/2020 04:00:00 PM,Bronx,Recreation Center,Hunts Point Recreation Center,Hunts Point Game On,Community Based Event,Sport,Play,75,Children;#Teens;#Adaptive
Recreation,East 54th Street Recreation Center,02/21/2020 03:00:00 PM,Manhattan,Recreation Center,Recreation Center 54,King of the Rock,Agency Produced Event,Sport,Tier 1,35,Teens
Recreation,Councilman Cohen,07/11/2018 08:30:00 PM,Bronx,Park,Seton Park,Movies Under The Stars: Star Wars The Last Jedi,Community Based Event,Mobile Unit,Movies,25,General Public
Recreation,,03/23/2020 11:00:00 AM,Bronx,Recreation Center,Hunts Point Recreation Center,Paint & Sip,Community Based Event,Family Festival,Tier 1,50,Young Adult;#Adults;#Adaptive;#Seniors
Recreation,,03/06/2020 03:30:00 PM,Queens,Recreation Center,Lost Battalion Hall Recreation Center,Lego & K'nex Showcase,Community Based Event,Academic/Out of School time,,9,Children
Recreation,,03/05/2020 06:00:00 PM,Queens,Recreation Center,Lost Battalion Hall Recreation Center,Stardust Gallery,Community Based Event,Academic/Out of School time,,8,Children
Recreation,Strictly Tango/ Sergio Segura,02/27/2020 01:00:00 PM,Manhattan,Recreation Center,Chelsea Recreation Center,Tango Workout at Chelsea,Community Based Event,Arts/Culture,Dance,15,Adults;#Young Adult;#Seniors
Recreation,Strictly Tango NYC/Sergio Segura,02/20/2020 01:00:00 PM,Manhattan,Recreation Center,Chelsea Recreation Center,Tango Workout at Chelsea,Community Based Event,Arts/Culture,Dance,12,Young Adult;#Adults;#Seniors;#General Public
Recreation,Strictly Tango NYC/ Sergio Segura,03/05/2020 01:00:00 PM,Manhattan,Recreation Center,Chelsea Recreation Center,Tango Workout at Chelsea,Community Based Event,Arts/Culture,Dance,8,Young Adult;#Adults;#Seniors
Recreation,,12/20/2019 09:00:00 AM,Manhattan,Recreation Center,Recreation Center 54,Holiday Basketball Classic,Tournament/Competition,Sport,Tier 1,30,Adults;#Seniors
Recreation,celine,03/20/2020 12:00:00 PM,Manhattan,Recreation Center,J. Hood Wright Recreation Center,Recreation Day,Community Based Event,Family Festival,Play,0,Children;#Teens;#General Public
Recreation,,03/06/2020 04:00:00 PM,Manhattan,Recreation Center,Highbridge Recreation Center,Teen Fitness Challenge,Agency Produced Event,Fitness,Fitness,7,Teens
Recreation,,02/17/2020 12:00:00 PM,Manhattan,Recreation Center,J. Hood Wright Recreation Center,Chilly Winter Art,Community Based Event,Arts/Culture,Play,20,Tot;#General Public;#Children
Recreation,,07/13/2018 08:00:00 PM,Brooklyn,Playground,John Hancock Playground,Movies Under The Stars : Men In Black 3,Community Based Event,Mobile Unit,Movies,125,General Public
