Unit,Group Name/Partner,Date and Time,Borough,LocationType,Location,Event Name,Event Type,Category,Classification,Attendance,Audience
Recreation,Jazz Foundation,05/03/2019 06:00:00 PM,Manhattan,Recreation Center,Hansborough Recreation Center,Jazz Concert,Agency Produced Event,Arts/Culture,AC&F,69,General Public
Recreation,,06/16/2018 08:00:00 PM,Manhattan,Playground,Little Flower Playground,Movies Under the Stars: The Greatest Showman,Community Based Event,Mobile Unit,Movies,275,General Public
Aquatics,,04/28/2019 09:00:00 AM,Queens,Recreation Center,Flushing Meadows Corona Park Pool & Rink,High Point 3,Tournament/Competition,Sport,Tier 1,"1,288",Children;#General Public
Aquatics,,03/24/2019 09:00:00 AM,Queens,Recreation Center,Flushing Meadows Corona Park Pool & Rink,High Point  2,Tournament/Competition,Sport,Tier 1,"1,047",Children;#General Public
Aquatics,,12/02/2018 09:00:00 AM,Queens,Recreation Center,Flushing Meadows Corona Park Pool & Rink,High Point 1,Tournament/Competition,Sport,Tier 1,"1,255",Children;#General Public
Recreation,Queensboro Dance Festival,06/08/2019 06:00:00 PM,Queens,Park,Beach 17th Street,Queensboro Dance Festival,Open House,Arts/Culture,AC&F,250,General Public
Aquatics,,05/05/2019 09:45:00 AM,Queens,Recreation Center,Flushing Meadows Corona Park Pool & Rink,Masters Meet,Tournament/Competition,Sport,Tier 1,254,Young Adult;#Adults;#Seniors
Aquatics,,05/19/2019 10:00:00 AM,Queens,Recreation Center,Flushing Meadows Corona Park Pool & Rink,Borough Cup Championship,Tournament/Competition,Sport,Tier 1,928,Children;#General Public
Aquatics,Brooklyn Recreation,05/10/2019 09:00:00 AM,Brooklyn,Recreation Center,Brownsville Recreation Center,Senior Games,Tournament/Competition,Sport,Tier 1,102,Seniors
Recreation,"Council Member Rory Lancman, Briarwood Community Association and Archbishop Molloy High School",06/09/2019 01:00:00 PM,Queens,Playground,Hoover Manton Playground,Briarwood Family Day,Community Based Event,Family Festival,Play,"1,000",General Public
Aquatics,Bronx Recreation,05/31/2019 10:00:00 AM,Bronx,Recreation Center,St. Mary's Recreation Center,Senior Swim Olympics,Tournament/Competition,Sport,Aquatics,116,Seniors
Recreation,Council Member Daneek Miller,06/06/2019 12:00:00 PM,Queens,Playground,Skating Day at Daniel Oâ€™Connell,Skating Day at Daniel Oâ€™Connell,Local Event,Family Festival,Play,200,General Public
Recreation,,06/14/2018 08:00:00 PM,Manhattan,Park,Marcus Garvey Park,Movies Under the Stars: The Shape of Water,Community Based Event,Mobile Unit,Movies,220,General Public
Recreation,Council Member Holden,05/18/2019 01:00:00 PM,Queens,Playground,Rosemarys Playground,Spring Festival at Rosemarys Playground,Local Event,Family Festival,Play,"1,200",General Public
Recreation,,06/07/2019 05:30:00 PM,Manhattan,Recreation Center,J. Hood Wright Recreation Center,Sounds of Disco,Local Event,Fitness,Dance,25,Tot;#Adults;#Teens;#Children;#Young Adult;#Adaptive;#Seniors;#General Public
Recreation,Council Member Lanceman,05/26/2019 01:00:00 PM,Queens,Playground,Ponomok Playground,Family Day at Ponomok Playground,Local Event,Family Festival,Play,250,General Public
Recreation,Council Member Rory Lancman,06/08/2019 01:00:00 PM,Queens,Playground,Utopia Playground,Fresh Meadows Family Day,Local Event,Family Festival,Play,350,General Public
Recreation,Council Member Holden,05/25/2019 01:00:00 AM,Queens,Park,Frank Principe Park,Spring Festival at Frank Principe Park,Local Event,Family Festival,Play,400,General Public
Recreation,Council Member Adrienne Adams,06/01/2019 01:00:00 PM,Queens,Park,Baisley Park Extension,District 28 Day,Local Event,Family Festival,Play,190,General Public
Recreation,,06/14/2019 12:00:00 AM,Queens,Recreation Center,Al Oerter Recreation Center,Make Your Mark: Art Workshop Series,Agency Produced Event,Arts/Culture,AC&F,38,General Public
Recreation,Family Day at Mauro Playground,05/19/2019 01:00:00 PM,Queens,Playground,Mauro Playground,Family Day at Mauro Playground,Local Event,Family Festival,Play,600,General Public
Recreation,"Jackson Heights Beautification Group, CM Dromm",06/14/2019 08:30:00 PM,Queens,Playground,Playground Ninety,How to Train Your Dragon: The Hidden World,Community Based Event,Mobile Unit,M.U.T.S,130,General Public
Urban Park Rangers,,06/07/2019 11:00:00 AM,Bronx,Playground,Saw Mill Playground,,Agency Produced Event,Nature,,30,Children
Recreation,MOCA Cinema,06/15/2018 08:00:00 PM,Manhattan,Park,Columbus Park,Movies Under the Stars: MOCA: The Lego Ninjago Movie,Community Based Event,Mobile Unit,Movies,227,General Public
Recreation,,06/14/2019 04:00:00 PM,Manhattan,Recreation Center,J. Hood Wright Recreation Center,Father's Day Game Night,Local Event,Sport,Play,20,Young Adult;#Adults;#Seniors
Recreation,,06/14/2019 08:00:00 PM,Bronx,Park,Pelham Parkway,Fantastic Beast: Crimes of Grindelwald,Community Based Event,Mobile Unit,M.U.T.S,50,General Public
