gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3154253432	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS910119503	Animalia	Chordata	Aves	Passeriformes	Mimidae	Mimus	Mimus polyglottos		SPECIES	Mimus polyglottos (Linnaeus, 1758)	Mimus polyglottos		US	Crotona Park	New York	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.839813	-73.89571							2020-05-01T00:00:00	1	5	2020	5231677	5231677	HUMAN_OBSERVATION	CLO	EBIRD	OBS910119503				CC_BY_4_0		obsr806887			2023-08-25T15:17:13.711Z		CONTINENT_DERIVED_FROM_COORDINATES
3153584524	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_ATL_NY:OBS896169152	Animalia	Chordata	Aves	Passeriformes	Sturnidae	Sturnus	Sturnus vulgaris		SPECIES	Sturnus vulgaris Linnaeus, 1758	Sturnus vulgaris		US	Crotona Park	New York	PRESENT	17	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.839813	-73.89571							2020-04-16T00:00:00	16	4	2020	9809229	9809229	HUMAN_OBSERVATION	CLO	EBIRD_ATL_NY	OBS896169152				CC_BY_4_0		obsr806887			2023-08-25T15:17:06.216Z		CONTINENT_DERIVED_FROM_COORDINATES
3152959532	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_ATL_NY:OBS896169148	Animalia	Chordata	Aves	Piciformes	Picidae	Dryobates	Dryobates pubescens		SPECIES	Dryobates pubescens (Linnaeus, 1766)	Dryobates pubescens		US	Crotona Park	New York	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.839813	-73.89571							2020-04-16T00:00:00	16	4	2020	9149595	9149595	HUMAN_OBSERVATION	CLO	EBIRD_ATL_NY	OBS896169148				CC_BY_4_0		obsr806887			2023-08-25T15:42:19.618Z		CONTINENT_DERIVED_FROM_COORDINATES
3151233380	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS910119509	Animalia	Chordata	Aves	Pelecaniformes	Ardeidae	Ardea	Ardea alba		SPECIES	Ardea alba Linnaeus, 1758	Ardea alba		US	Crotona Park	New York	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.839813	-73.89571							2020-05-01T00:00:00	1	5	2020	9752617	9752617	HUMAN_OBSERVATION	CLO	EBIRD	OBS910119509				CC_BY_4_0		obsr806887			2023-08-25T15:17:10.916Z		CONTINENT_DERIVED_FROM_COORDINATES
3151140520	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS910119504	Animalia	Chordata	Aves	Passeriformes	Hirundinidae	Tachycineta	Tachycineta bicolor		SPECIES	Tachycineta bicolor (Vieillot, 1808)	Tachycineta bicolor		US	Crotona Park	New York	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.839813	-73.89571							2020-05-01T00:00:00	1	5	2020	2489181	2489181	HUMAN_OBSERVATION	CLO	EBIRD	OBS910119504				CC_BY_4_0		obsr806887			2023-08-25T15:17:09.170Z		CONTINENT_DERIVED_FROM_COORDINATES
3150214250	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_ATL_NY:OBS896169157	Animalia	Chordata	Aves	Passeriformes	Cardinalidae	Cardinalis	Cardinalis cardinalis		SPECIES	Cardinalis cardinalis (Linnaeus, 1758)	Cardinalis cardinalis		US	Crotona Park	New York	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.839813	-73.89571							2020-04-16T00:00:00	16	4	2020	2490384	2490384	HUMAN_OBSERVATION	CLO	EBIRD_ATL_NY	OBS896169157				CC_BY_4_0		obsr806887			2023-08-25T15:42:57.389Z		CONTINENT_DERIVED_FROM_COORDINATES
3150093463	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_ATL_NY:OBS896169149	Animalia	Chordata	Aves	Passeriformes	Parulidae	Setophaga	Setophaga palmarum		SPECIES	Setophaga palmarum (J.F.Gmelin, 1789)	Setophaga palmarum		US	Crotona Park	New York	PRESENT	7	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.839813	-73.89571							2020-04-16T00:00:00	16	4	2020	7341822	7341822	HUMAN_OBSERVATION	CLO	EBIRD_ATL_NY	OBS896169149				CC_BY_4_0		obsr806887			2023-08-25T15:44:23.441Z		CONTINENT_DERIVED_FROM_COORDINATES
3149873324	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_ATL_NY:OBS896169150	Animalia	Chordata	Aves	Passeriformes	Hirundinidae	Stelgidopteryx	Stelgidopteryx serripennis		SPECIES	Stelgidopteryx serripennis (Audubon, 1838)	Stelgidopteryx serripennis		US	Crotona Park	New York	PRESENT	6	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.839813	-73.89571							2020-04-16T00:00:00	16	4	2020	2489202	2489202	HUMAN_OBSERVATION	CLO	EBIRD_ATL_NY	OBS896169150				CC_BY_4_0		obsr806887			2023-08-25T15:49:40.962Z		CONTINENT_DERIVED_FROM_COORDINATES
3149193392	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS910119507	Animalia	Chordata	Aves	Passeriformes	Passerellidae	Spizella	Spizella passerina		SPECIES	Spizella passerina (Bechstein, 1798)	Spizella passerina		US	Crotona Park	New York	PRESENT	8	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.839813	-73.89571							2020-05-01T00:00:00	1	5	2020	2492109	2492109	HUMAN_OBSERVATION	CLO	EBIRD	OBS910119507				CC_BY_4_0		obsr806887			2023-08-25T15:17:31.024Z		CONTINENT_DERIVED_FROM_COORDINATES
3148826367	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS910119510	Animalia	Chordata	Aves	Passeriformes	Passerellidae	Zonotrichia	Zonotrichia albicollis		SPECIES	Zonotrichia albicollis (J.F.Gmelin, 1789)	Zonotrichia albicollis		US	Crotona Park	New York	PRESENT	12	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.839813	-73.89571							2020-05-01T00:00:00	1	5	2020	5231140	5231140	HUMAN_OBSERVATION	CLO	EBIRD	OBS910119510				CC_BY_4_0		obsr806887			2023-08-25T15:49:52.896Z		CONTINENT_DERIVED_FROM_COORDINATES
