gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3510042290	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1112342183	Animalia	Chordata	Aves	Passeriformes	Passeridae	Passer	Passer domesticus		SPECIES	Passer domesticus (Linnaeus, 1758)	Passer domesticus		US	Highbridge Park--S of Alexander Hamilton Bridge	New York	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	40.839043	-73.93483							2021-03-31T00:00:00	31	3	2021	5231190	5231190	HUMAN_OBSERVATION	CLO	EBIRD	OBS1112342183				CC_BY_4_0		obsr402243			2023-08-25T15:49:56.913Z		CONTINENT_DERIVED_FROM_COORDINATES
3510034034	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1096365421	Animalia	Chordata	Aves	Passeriformes	Paridae	Baeolophus	Baeolophus bicolor		SPECIES	Baeolophus bicolor (Linnaeus, 1766)	Baeolophus bicolor		US	Highbridge Park--S of Alexander Hamilton Bridge	New York	PRESENT	3	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.839043	-73.93483							2021-03-16T00:00:00	16	3	2021	2487887	2487887	HUMAN_OBSERVATION	CLO	EBIRD	OBS1096365421				CC_BY_4_0		obsr1709209			2023-08-25T15:49:14.603Z		CONTINENT_DERIVED_FROM_COORDINATES
3510011094	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1089015991	Animalia	Chordata	Aves	Passeriformes	Turdidae	Turdus	Turdus migratorius		SPECIES	Turdus migratorius Linnaeus, 1766	Turdus migratorius		US	Highbridge Park, New York US-NY 40.83262, -73.93950	New York	PRESENT	5	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.83262	-73.9395							2021-03-06T00:00:00	6	3	2021	9510564	9510564	HUMAN_OBSERVATION	CLO	EBIRD	OBS1089015991				CC_BY_4_0		obsr763573			2023-08-25T15:22:00.182Z		CONTINENT_DERIVED_FROM_COORDINATES
3509890234	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1064104514	Animalia	Chordata	Aves	Passeriformes	Passerellidae	Zonotrichia	Zonotrichia albicollis		SPECIES	Zonotrichia albicollis (J.F.Gmelin, 1789)	Zonotrichia albicollis		US	Highbridge Park--S of Alexander Hamilton Bridge	New York	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.839043	-73.93483							2021-02-01T00:00:00	1	2	2021	5231140	5231140	HUMAN_OBSERVATION	CLO	EBIRD	OBS1064104514				CC_BY_4_0		obsr1709209			2023-08-25T15:20:19.053Z		CONTINENT_DERIVED_FROM_COORDINATES
3509886873	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1089016003	Animalia	Chordata	Aves	Passeriformes	Certhiidae	Certhia	Certhia americana		SPECIES	Certhia americana Bonaparte, 1838	Certhia americana		US	Highbridge Park, New York US-NY 40.83262, -73.93950	New York	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.83262	-73.9395							2021-03-06T00:00:00	6	3	2021	9581157	9581157	HUMAN_OBSERVATION	CLO	EBIRD	OBS1089016003				CC_BY_4_0		obsr763573			2023-08-25T15:19:48.546Z		CONTINENT_DERIVED_FROM_COORDINATES
3509795071	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1050043040	Animalia	Chordata	Aves	Passeriformes	Passerellidae	Junco	Junco hyemalis		SPECIES	Junco hyemalis (Linnaeus, 1758)	Junco hyemalis		US	Highbridge Park--S of Alexander Hamilton Bridge	New York	PRESENT	20	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.839043	-73.93483							2021-01-12T00:00:00	12	1	2021	9362842	9362842	HUMAN_OBSERVATION	CLO	EBIRD	OBS1050043040				CC_BY_4_0		obsr1012275			2023-08-25T15:19:14.934Z		CONTINENT_DERIVED_FROM_COORDINATES
3509724847	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1087350250	Animalia	Chordata	Aves	Passeriformes	Passeridae	Passer	Passer domesticus		SPECIES	Passer domesticus (Linnaeus, 1758)	Passer domesticus		US	Highbridge Park--S of Alexander Hamilton Bridge	New York	PRESENT	12	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.839043	-73.93483							2021-03-04T00:00:00	4	3	2021	5231190	5231190	HUMAN_OBSERVATION	CLO	EBIRD	OBS1087350250				CC_BY_4_0		obsr246289			2023-08-25T15:20:02.063Z		CONTINENT_DERIVED_FROM_COORDINATES
3509700455	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1096365420	Animalia	Chordata	Aves	Piciformes	Picidae	Dryobates	Dryobates pubescens		SPECIES	Dryobates pubescens (Linnaeus, 1766)	Dryobates pubescens		US	Highbridge Park--S of Alexander Hamilton Bridge	New York	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.839043	-73.93483							2021-03-16T00:00:00	16	3	2021	9149595	9149595	HUMAN_OBSERVATION	CLO	EBIRD	OBS1096365420				CC_BY_4_0		obsr1709209			2023-08-25T15:45:58.797Z		CONTINENT_DERIVED_FROM_COORDINATES
3509538801	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1078956525	Animalia	Chordata	Aves	Passeriformes	Sturnidae	Sturnus	Sturnus vulgaris		SPECIES	Sturnus vulgaris Linnaeus, 1758	Sturnus vulgaris		US	Highbridge Park--S of Alexander Hamilton Bridge	New York	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.839043	-73.93483							2021-02-20T00:00:00	20	2	2021	9809229	9809229	HUMAN_OBSERVATION	CLO	EBIRD	OBS1078956525				CC_BY_4_0		obsr246289			2023-08-25T15:20:02.559Z		CONTINENT_DERIVED_FROM_COORDINATES
3509457025	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1089015992	Animalia	Chordata	Aves	Falconiformes	Falconidae	Falco	Falco sparverius		SPECIES	Falco sparverius Linnaeus, 1758	Falco sparverius		US	Highbridge Park, New York US-NY 40.83262, -73.93950	New York	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.83262	-73.9395							2021-03-06T00:00:00	6	3	2021	9685907	9685907	HUMAN_OBSERVATION	CLO	EBIRD	OBS1089015992				CC_BY_4_0		obsr763573			2023-08-25T15:19:46.959Z		CONTINENT_DERIVED_FROM_COORDINATES
