x,y,PM2.5,park,BC,NO,NO2,O3
991043.3055,230478.06540000002,6.121149063110352,CentralPark,0.564717710018158,12.065567016601562,17.6741943359375,NA
992027.3055,230478.06540000002,6.13889741897583,CentralPark,0.5599905252456665,12.4956636428833,18.68440055847168,NA
993011.3055,230478.06540000002,6.213831901550293,CentralPark,0.5824007987976074,14.463306427001953,20.30403709411621,NA
993995.3055,230478.06540000002,6.162687301635742,CentralPark,0.559615969657898,12.320305824279785,19.940013885498047,NA
994979.3055,230478.06540000002,6.172519683837891,CentralPark,0.5576903820037842,11.147958755493164,19.359590530395508,NA
995963.3055,230478.06540000002,6.200412273406982,CentralPark,0.5539700388908386,10.627351760864258,17.503360748291016,NA
996947.3055,230478.06540000002,6.212289810180664,CentralPark,0.557196319103241,10.897520065307617,18.302106857299805,NA
997931.3055,230478.06540000002,6.263682842254639,CentralPark,0.5583173036575317,11.209737777709961,18.28262710571289,NA
990059.3055,229494.06540000002,6.158079624176025,CentralPark,0.5609343647956848,12.64415454864502,18.083995819091797,NA
991043.3055,229494.06540000002,6.1587419509887695,CentralPark,0.5657885074615479,13.03465461730957,18.478469848632812,NA
992027.3055,229494.06540000002,6.227957725524902,CentralPark,0.5682733654975891,13.473054885864258,19.528701782226562,NA
993011.3055,229494.06540000002,6.194264888763428,CentralPark,0.5630626082420349,14.223926544189453,19.7420597076416,NA
993995.3055,229494.06540000002,6.091453552246094,CentralPark,0.5547735691070557,12.72286319732666,18.684192657470703,NA
994979.3055,229494.06540000002,6.070734977722168,CentralPark,0.5450760722160339,11.294514656066895,17.79581642150879,NA
995963.3055,229494.06540000002,6.083878040313721,CentralPark,0.5386725068092346,9.762823104858398,15.956783294677734,NA
996947.3055,229494.06540000002,6.1398515701293945,CentralPark,0.5418604016304016,10.148459434509277,15.881075859069824,NA
997931.3055,229494.06540000002,6.255374431610107,CentralPark,0.5504657030105591,11.527286529541016,17.059240341186523,NA
990059.3055,228510.06540000002,6.163452625274658,CentralPark,0.5686786770820618,12.697824478149414,18.107555389404297,NA
991043.3055,228510.06540000002,6.213159561157227,CentralPark,0.5631836652755737,13.367535591125488,19.342832565307617,NA
992027.3055,228510.06540000002,6.273203372955322,CentralPark,0.5819509625434875,14.973569869995117,20.441007614135742,NA
993011.3055,228510.06540000002,6.154941558837891,CentralPark,0.5581167340278625,13.196880340576172,19.377805709838867,NA
993995.3055,228510.06540000002,6.0552191734313965,CentralPark,0.5455202460289001,11.540220260620117,17.69637680053711,NA
994979.3055,228510.06540000002,6.002283573150635,CentralPark,0.5353427529335022,10.087677001953125,15.807159423828125,NA
995963.3055,228510.06540000002,6.000814437866211,CentralPark,0.5301834940910339,9.637531280517578,14.98529052734375,NA
996947.3055,228510.06540000002,6.08694314956665,CentralPark,0.5354406237602234,10.863327026367188,15.391953468322754,NA
997931.3055,228510.06540000002,6.224948883056641,CentralPark,0.5484028458595276,13.137760162353516,17.67304801940918,NA
989075.3055,227526.06540000002,6.263082027435303,CentralPark,0.5664441585540771,13.195693016052246,18.50605583190918,NA
990059.3055,227526.06540000002,6.242320537567139,CentralPark,0.562451183795929,13.221342086791992,18.77261734008789,NA
991043.3055,227526.06540000002,6.3006744384765625,CentralPark,0.567021369934082,14.813377380371094,20.158884048461914,NA
992027.3055,227526.06540000002,6.251277923583984,CentralPark,0.5604502558708191,14.137313842773438,20.1153621673584,NA
993011.3055,227526.06540000002,6.1193671226501465,CentralPark,0.5499021410942078,12.556649208068848,19.091337203979492,NA
993995.3055,227526.06540000002,6.01446533203125,CentralPark,0.5375670194625854,10.8478364944458,17.05372428894043,NA
994979.3055,227526.06540000002,5.973438262939453,CentralPark,0.5308706164360046,9.898622512817383,15.443977355957031,NA
995963.3055,227526.06540000002,6.002586841583252,CentralPark,0.5277283191680908,10.655240058898926,15.189668655395508,NA
996947.3055,227526.06540000002,6.11460542678833,CentralPark,0.5374483466148376,12.85391902923584,16.41945457458496,NA
997931.3055,227526.06540000002,6.24017333984375,CentralPark,0.5498106479644775,13.872842788696289,18.083011627197266,NA
989075.3055,226542.06540000002,6.302198886871338,CentralPark,0.5753526091575623,13.024486541748047,18.41626739501953,NA
990059.3055,226542.06540000002,6.348865985870361,CentralPark,0.5681462287902832,14.028103828430176,19.607746124267578,NA
991043.3055,226542.06540000002,6.375982284545898,CentralPark,0.5700705647468567,15.492829322814941,20.811410903930664,NA
992027.3055,226542.06540000002,6.231971263885498,CentralPark,0.5554400682449341,13.55455207824707,19.671947479248047,NA
993011.3055,226542.06540000002,6.102283477783203,CentralPark,0.5413954257965088,11.639678001403809,18.369356155395508,NA
993995.3055,226542.06540000002,5.994044780731201,CentralPark,0.5289901494979858,10.07099437713623,15.866620063781738,NA
994979.3055,226542.06540000002,5.947973728179932,CentralPark,0.521786630153656,9.655611038208008,15.256583213806152,NA
995963.3055,226542.06540000002,6.0608744621276855,CentralPark,0.530958354473114,11.54889965057373,16.054800033569336,NA
996947.3055,226542.06540000002,6.20050048828125,CentralPark,0.5463362336158752,13.997116088867188,18.51315689086914,NA
997931.3055,226542.06540000002,6.298445701599121,CentralPark,0.5550717711448669,14.411589622497559,19.331302642822266,NA
989075.3055,225558.06540000002,6.38344669342041,CentralPark,0.572197675704956,13.273735046386719,18.828588485717773,NA
990059.3055,225558.06540000002,6.446131229400635,CentralPark,0.5900783538818359,15.15169906616211,20.60158348083496,NA
991043.3055,225558.06540000002,6.379204750061035,CentralPark,0.5655825138092041,14.055286407470703,20.442659378051758,NA
