Unit,Group Name/Partner,Date and Time,Borough,LocationType,Park,Event Name,EventType,Category,Classification,Attendance,Audience,acres,Attendance_acre
Urban Park Rangers,Urban Park Rangers,09/14/2019 12:00:00 PM,Manhattan,Park,Central Park,Raptor Fest,Agency Produced Event,Family Festival,NA,4000,General Public,842.6,4.747211013529551
Urban Park Rangers,Parks Marketing and Special Events and Recreation,02/01/2020 11:00:00 AM,Manhattan,Park,Central Park,Winter Jam,Agency Produced Event,Sport,Play,650,Tot;#Children;#Young Adult;#Adults;#Teens,842.6,0.7714217896985521
Recreation,PS 107,09/01/2021 10:00:00 AM,Bronx,Park,Soundview Park,Monologues for Kids,Agency Produced Event,Arts/Culture,Play,0,Children,205.31,0
Urban Park Rangers,Public,07/16/2020 02:00:00 PM,Manhattan,Park,Inwood Hill Park,Nature Hike,Agency Produced Event,Nature,Summer 2020,1,General Public,196.398,0.005091701544822249
Recreation,Giovanni Feliciano,07/14/2020 10:30:00 AM,Manhattan,Park,Highbridge Park,KIM Outdoor Programming,Community Based Event,Sport,Summer 2020,3,Children;#Tot;#Teens,131,0.022900763358778626
Urban Park Rangers,Public,07/16/2020 03:00:00 PM,Manhattan,Park,Inwood Hill Park,Nature Hike,Agency Produced Event,Nature,Summer 2020,2,General Public,196.398,0.010183403089644497
Urban Park Rangers,General Public,07/14/2020 10:00:00 AM,Bronx,Park,Crotona Park,Orienteering,Agency Produced Event,Nature,Summer 2020,0,General Public,127.5,0
Recreation,Giovanni Feliciano,07/16/2020 10:30:00 AM,Manhattan,Park,Highbridge Park,KIM Outdoor Programming,Community Based Event,Sport,Summer 2020,22,Tot;#Children;#Teens,131,0.16793893129770993
Urban Park Rangers,NA,07/17/2020 12:05:00 PM,Manhattan,Park,Central Park,Why is That Turtle Swimming Sideways,Community Based Event,Nature,Summer 2020,9,General Public,842.6,0.01068122478044149
Urban Park Rangers,General Public,07/17/2020 04:00:00 PM,Manhattan,Park,Inwood Hill Park,Baby Birds,Community Based Event,Nature,Summer 2020,4,General Public,196.398,0.020366806179288995
Urban Park Rangers,NA,07/17/2020 01:30:00 PM,Manhattan,Park,Central Park,What's that Bird,Community Based Event,Nature,Summer 2020,3,General Public,842.6,0.0035604082601471635
Urban Park Rangers,General Public,07/18/2020 10:55:00 AM,Manhattan,Park,Morningside Park,Egret Extravaganza,Community Based Event,Nature,Summer 2020,38,General Public,29.888,1.2714132762312633
Urban Park Rangers,General Public,07/19/2020 03:15:00 PM,Manhattan,Park,Morningside Park,Morningside Pond Pop-up,Community Based Event,Nature,Summer 2020,21,General Public,29.888,0.7026231263383297
Recreation,Tasha Valentino,07/21/2020 12:00:00 PM,Bronx,Park,Soundview Park,Mindful Play,Agency Produced Event,Fitness,Summer 2020,1,Children,205.31,0.0048706833568749695
Recreation,Friends of Soundview Park,07/17/2020 10:00:00 AM,Bronx,Park,Soundview Park,Photography and Art in Nature,Agency Produced Event,Arts/Culture,Summer 2020,0,Children,205.31,0
Recreation,Tasha Valentino,07/14/2020 12:00:00 PM,Bronx,Park,Soundview Park,Mindful Play,Agency Produced Event,Fitness,Summer 2020,0,Children,205.31,0
Urban Park Rangers,General Public,07/21/2020 10:15:00 AM,Bronx,Park,Crotona Park,Roaming Walking Stick Meet & Greet,Agency Produced Event,Nature,Summer 2020,6,General Public,127.5,0.047058823529411764
Urban Park Rangers,General Public,07/21/2020 03:00:00 PM,Manhattan,Park,Inwood Hill Park,Garden Gala,Community Based Event,Nature,Summer 2020,3,General Public,196.398,0.015275104634466746
Recreation,Giovanni Feliciano,07/21/2020 10:30:00 AM,Manhattan,Park,Highbridge Park,KIM Outdoor Programming,Community Based Event,Sport,Summer 2020,5,Tot;#Children;#Teens,131,0.03816793893129771
Urban Park Rangers,General Public,07/23/2020 02:00:00 PM,Manhattan,Park,Inwood Hill Park,Salt Marsh Ecology,Community Based Event,Nature,Summer 2020,10,General Public,196.398,0.05091701544822249
Recreation,NA,07/21/2018 08:30:00 PM,Bronx,Park,Crotona Park,Movies Under The Stars: Jumanji: Welcome To The Jungle,Community Based Event,Mobile Unit,Movies,0,General Public,127.5,0
Urban Park Rangers,General Public,07/23/2020 02:40:00 AM,Bronx,Park,Crotona Park,Animal Olympics,Agency Produced Event,Nature,Summer 2020,0,Children,127.5,0
