park,mean_ndvi,ndvi_bins,n,percent_ndvi_bin
Crotona,0.5334660769628018,0.05,24806,4.794578797624938
Crotona,0.5334660769628018,0.1,16002,3.0929150173181594
Crotona,0.5334660769628018,0.15,15116,2.9216662543295397
Crotona,0.5334660769628018,0.2,15238,2.945246783770411
Crotona,0.5334660769628018,0.25,18426,3.5614330776843146
Crotona,0.5334660769628018,0.3,19380,3.7458250865907967
Crotona,0.5334660769628018,0.35,23668,4.574622711528946
Crotona,0.5334660769628018,0.4,25378,4.905136689757546
Crotona,0.5334660769628018,0.45,31742,6.135189881246907
Crotona,0.5334660769628018,0.5,34677,6.702475569025235
Crotona,0.5334660769628018,0.55,32982,6.3748608362196935
Crotona,0.5334660769628018,0.6,38726,7.485078550222663
Crotona,0.5334660769628018,0.65,31862,6.15838384463137
Crotona,0.5334660769628018,0.7,36582,7.070679737753588
Crotona,0.5334660769628018,0.75,30562,5.907115907966353
Crotona,0.5334660769628018,0.8,30308,5.858022018802573
Crotona,0.5334660769628018,0.85,28006,5.413084487877288
Crotona,0.5334660769628018,0.9,20053,3.8759045645719943
Crotona,0.5334660769628018,0.95,14534,2.8091755319148937
Crotona,0.5334660769628018,1,29328,5.6686046511627906
Highbridge,0.5811864927591611,0.05,48919,4.354568072672568
Highbridge,0.5811864927591611,0.1,31304,2.7865532604293235
Highbridge,0.5811864927591611,0.15,28488,2.5358845285941274
Highbridge,0.5811864927591611,0.2,28870,2.569888596620067
Highbridge,0.5811864927591611,0.25,34500,3.0710480285206896
Highbridge,0.5811864927591611,0.3,35134,3.1274840995375626
Highbridge,0.5811864927591611,0.35,42806,3.8104139683726563
Highbridge,0.5811864927591611,0.4,45959,4.091081053413982
Highbridge,0.5811864927591611,0.45,54354,4.838369407020683
Highbridge,0.5811864927591611,0.5,57415,5.11084703065262
Highbridge,0.5811864927591611,0.55,53007,4.718465010081049
Highbridge,0.5811864927591611,0.6,62231,5.539547532257131
Highbridge,0.5811864927591611,0.65,51509,4.585119214523832
Highbridge,0.5811864927591611,0.7,62721,5.583165315850613
Highbridge,0.5811864927591611,0.75,75087,6.6839357483342905
Highbridge,0.5811864927591611,0.8,134816,12.00076553661001
Highbridge,0.5811864927591611,0.85,125105,11.136332278495098
Highbridge,0.5811864927591611,0.9,53242,4.739383743028943
Highbridge,0.5811864927591611,0.95,30691,2.731986522995028
Highbridge,0.5811864927591611,1,67237,5.985161051989728
Inwood,0.6529429645230261,0.05,12227,2.72264716033713
Inwood,0.6529429645230261,0.1,7447,1.658260685616309
Inwood,0.6529429645230261,0.15,6167,1.3732366923856285
Inwood,0.6529429645230261,0.2,6813,1.5170847389692375
Inwood,0.6529429645230261,0.25,8373,1.8644577307191288
Inwood,0.6529429645230261,0.3,9336,2.0788937506262735
Inwood,0.6529429645230261,0.35,11994,2.670763886569358
Inwood,0.6529429645230261,0.4,13118,2.9210505806250486
Inwood,0.6529429645230261,0.45,16484,3.6705746128238528
Inwood,0.6529429645230261,0.5,17109,3.809746484518521
Inwood,0.6529429645230261,0.55,15330,3.4136076689268178
Inwood,0.6529429645230261,0.6,18560,4.132847901844863
Inwood,0.6529429645230261,0.65,18837,4.194528875379939
Inwood,0.6529429645230261,0.7,28291,6.299698275382166
Inwood,0.6529429645230261,0.75,42680,9.503768774285492
Inwood,0.6529429645230261,0.8,77850,17.33524833828785
Inwood,0.6529429645230261,0.85,70922,15.792555974926795
Inwood,0.6529429645230261,0.9,28509,6.348241424229266
Inwood,0.6529429645230261,0.95,14179,3.157308750013917
Inwood,0.6529429645230261,1,24859,5.535477693532405
Morningside,0.5594437110653314,0.05,11937,4.025779558469415
Morningside,0.5594437110653314,0.1,9213,3.107104554928266
Morningside,0.5594437110653314,0.15,8837,2.9802977262456407
Morningside,0.5594437110653314,0.2,9337,3.148923828217218
Morningside,0.5594437110653314,0.25,10916,3.681445058243456
Morningside,0.5594437110653314,0.3,11045,3.7249505925521222
Morningside,0.5594437110653314,0.35,13385,4.5141207497791
Morningside,0.5594437110653314,0.4,13897,4.686793878197994
Morningside,0.5594437110653314,0.45,16344,5.512050021246888
Morningside,0.5594437110653314,0.5,17576,5.927544736504853
Morningside,0.5594437110653314,0.55,16495,5.562975104042305
Morningside,0.5594437110653314,0.6,19596,6.608794188470021
Morningside,0.5594437110653314,0.65,16442,5.545100737233318
Morningside,0.5594437110653314,0.7,17841,6.016916570549789
Morningside,0.5594437110653314,0.75,14742,4.971771990529958
Morningside,0.5594437110653314,0.8,17886,6.032092919727231
Morningside,0.5594437110653314,0.85,20032,6.7558361493892365
Morningside,0.5594437110653314,0.9,12927,4.359659240373135
Morningside,0.5594437110653314,0.95,9433,3.18130003979576
Morningside,0.5594437110653314,1,28633,9.656542355504293
PelhamBaySouth,0.5885542990178708,0.05,15874,1.9107275907186354
PelhamBaySouth,0.5885542990178708,0.1,7463,0.8983091854310933
PelhamBaySouth,0.5885542990178708,0.15,7618,0.9169662836143735
PelhamBaySouth,0.5885542990178708,0.2,9620,1.157943771117127
PelhamBaySouth,0.5885542990178708,0.25,13518,1.6271396983327777
PelhamBaySouth,0.5885542990178708,0.3,18163,2.186250801954301
PelhamBaySouth,0.5885542990178708,0.35,27049,3.255844185545443
PelhamBaySouth,0.5885542990178708,0.4,33640,4.0491921476486645
PelhamBaySouth,0.5885542990178708,0.45,45610,5.490001600899393
PelhamBaySouth,0.5885542990178708,0.5,53909,6.488938748144822
PelhamBaySouth,0.5885542990178708,0.55,58703,7.06598473969737
PelhamBaySouth,0.5885542990178708,0.6,95664,11.514920261969733
