scientific,common,year,id,geometry,park
Platanus x acerifolia , London planetree,2023,NA,"c(1827653.26800037, 2185474.222616)",CentralPark
Quercus palustris , pin oak,2023,NA,"c(1827255.02357121, 2187044.30615815)",CentralPark
Quercus palustris , pin oak,2023,NA,"c(1827266.35890091, 2187083.69692809)",CentralPark
Platanus x acerifolia , London planetree,2023,NA,"c(1827640.77287108, 2185514.09780209)",CentralPark
Quercus palustris , pin oak,2022,NA,"c(1827520.09857885, 2188012.98836671)",CentralPark
Quercus palustris , pin oak,2022,NA,"c(1827516.42556054, 2187998.84373463)",CentralPark
Pseudotsuga menziesii , Douglas,2021,NA,"c(1827731.98197938, 2187160.58121888)",CentralPark
Crataegus , Hawthorn,2021,NA,"c(1827128.76792968, 2186160.16626569)",CentralPark
Tsuga canadensis , eastern hemlock,2021,NA,"c(1828313.95697585, 2189156.83516317)",CentralPark
Quercus rubra , northern red oak,2021,NA,"c(1828305.95235023, 2189113.49585053)",CentralPark
Malus , apple,2021,NA,"c(1828388.86407199, 2189228.94138565)",CentralPark
Betula pendula , European white birch,2021,NA,"c(1827428.25009806, 2185710.65848353)",CentralPark
Malus , apple,2021,NA,"c(1828291.19218508, 2189191.87644413)",CentralPark
Quercus rubra , northern red oak,2021,NA,"c(1828322.67055792, 2189126.68990881)",CentralPark
Pinus strobus , eastern white pine,2021,NA,"c(1828365.73341781, 2189162.86673806)",CentralPark
Quercus palustris , pin oak,2021,NA,"c(1828324.94294451, 2189121.00455385)",CentralPark
Ulmus americana , American elm,2021,NA,"c(1828425.70815685, 2189233.31421933)",CentralPark
Malus , apple,2021,NA,"c(1828289.07450968, 2189175.26727649)",CentralPark
Carya glabra , pignut hickory,2021,NA,"c(1828286.79221336, 2189131.06051362)",CentralPark
Pinus strobus , eastern white pine,2021,NA,"c(1828395.84844645, 2189184.1641689)",CentralPark
Malus , apple,2021,NA,"c(1828292.26430241, 2189182.1951756)",CentralPark
Quercus rubra , northern red oak,2021,NA,"c(1828325.53019745, 2189125.90843223)",CentralPark
Pinus strobus , eastern white pine,2021,NA,"c(1828351.45015421, 2189144.59173633)",CentralPark
Juglans nigra , black walnut,2021,NA,"c(1828342.81846491, 2189147.83418014)",CentralPark
Pinus nigra , Austrian pine,2021,NA,"c(1828397.99075623, 2189185.2385569)",CentralPark
Malus , apple,2021,NA,"c(1828312.01008473, 2189161.09365132)",CentralPark
Acer rubrum 'Armstrong' , 'Armstrong' Red maple,2021,NA,"c(1828314.37642227, 2189148.79360178)",CentralPark
Ulmus americana , American elm,2021,NA,"c(1828295.51111498, 2189214.01197968)",CentralPark
Ulmus americana , American elm,2021,NA,"c(1828432.41388, 2189237.12791537)",CentralPark
Quercus palustris , pin oak,2021,NA,"c(1828401.06744532, 2189235.77095431)",CentralPark
Acer rubrum 'Armstrong' , 'Armstrong' Red maple,2021,NA,"c(1828299.8244461, 2189148.90108375)",CentralPark
Morus , mulberry,2021,NA,"c(1828436.90328131, 2189268.00456893)",CentralPark
Quercus rubra , northern red oak,2021,NA,"c(1828321.68187302, 2189124.81167416)",CentralPark
Acer rubrum 'Armstrong' , 'Armstrong' Red maple,2021,NA,"c(1828309.40152506, 2189148.25388956)",CentralPark
Pinus strobus , eastern white pine,2021,NA,"c(1828361.34988216, 2189158.16094634)",CentralPark
Salix babylonica , Weeping willow,2021,NA,"c(1828422.24699805, 2189262.36729501)",CentralPark
Malus , apple,2021,NA,"c(1828289.93641148, 2189187.94968776)",CentralPark
Ulmus americana , American elm,2021,NA,"c(1828427.43459662, 2189242.75950975)",CentralPark
Malus , apple,2021,NA,"c(1828301.4838501, 2189210.33587165)",CentralPark
Ulmus americana , American elm,2021,NA,"c(1828298.349953, 2189118.03224415)",CentralPark
Malus , apple,2021,NA,"c(1828389.91580552, 2189226.19506182)",CentralPark
Robinia pseudoacacia , black locust,2021,NA,"c(1828481.12641419, 2189305.69564625)",CentralPark
Malus , apple,2021,NA,"c(1828291.16871466, 2189185.36086037)",CentralPark
Pinus strobus , eastern white pine,2021,NA,"c(1828357.88510635, 2189153.84899312)",CentralPark
Carpinus caroliniana , American hornbeam,2021,NA,"c(1828426.23568906, 2189247.4238937)",CentralPark
Malus , apple,2021,NA,"c(1828290.97496433, 2189131.79316779)",CentralPark
Platanus x acerifolia , London planetree,2021,NA,"c(1828366.45002633, 2189165.84308993)",CentralPark
Malus , apple,2021,NA,"c(1828288.506707, 2189184.41038662)",CentralPark
Acer pseudoplatanus , sycamore maple,2021,NA,"c(1828317.22170291, 2189261.14581124)",CentralPark
Robinia pseudoacacia , black locust,2021,NA,"c(1827421.59693864, 2185726.67462945)",CentralPark
Ulmus americana , American elm,2021,NA,"c(1828296.40892918, 2189115.70804225)",CentralPark
Prunus virginiana , chokecherry,2021,NA,"c(1828440.2982611, 2189262.90300893)",CentralPark
Pinus strobus , eastern white pine,2021,NA,"c(1828392.76899884, 2189182.65891197)",CentralPark
Acer rubrum 'Armstrong' , 'Armstrong' Red maple,2021,NA,"c(1828315.97448352, 2189162.62620999)",CentralPark
Acer rubrum 'Armstrong' , 'Armstrong' Red maple,2021,NA,"c(1828303.66257395, 2189146.99578917)",CentralPark
Malus , apple,2021,NA,"c(1828290.74704794, 2189178.75176116)",CentralPark
Thuja occidentalis , arborvitae,2021,NA,"c(1828297.12143991, 2189146.74449559)",CentralPark
Malus , apple,2021,NA,"c(1828288.82968047, 2189181.61278155)",CentralPark
Tsuga canadensis , eastern hemlock,2021,NA,"c(1827424.75740981, 2185725.17131094)",CentralPark
Malus , apple,2021,NA,"c(1828332.66515868, 2189155.75811919)",CentralPark
Ulmus americana , American elm,2021,NA,"c(1828421.6389158, 2189229.00712876)",CentralPark
Ulmus americana , American elm,2021,NA,"c(1828279.68913913, 2189184.97234857)",CentralPark
Celtis occidentalis , common hackberry,2021,NA,"c(1828452.21540161, 2189259.06706367)",CentralPark
Metasequoia glyptostroboides , dawn redwood,2021,NA,"c(1828397.16586396, 2189237.54089663)",CentralPark
Gleditsia triacanthos var. inermis , Thornless honeylocust,2021,NA,"c(1827701.61410752, 2185719.44749739)",CentralPark
Fagus grandifolia , American beech,2021,NA,"c(1828318.60031264, 2189116.17707254)",CentralPark
Malus , apple,2021,NA,"c(1828292.33472545, 2189189.65391906)",CentralPark
Crataegus , Hawthorn,2021,NA,"c(1828327.69914271, 2189119.34200351)",CentralPark
Thuja occidentalis , arborvitae,2021,NA,"c(1828318.03593373, 2189154.69279192)",CentralPark
Acer platanoides , Norway maple,2020,NA,"c(1826888.01519583, 2185703.36735377)",CentralPark
Quercus coccinea , scarlet oak,2020,NA,"c(1827116.30981865, 2186528.7606596)",CentralPark
Phellodendron amurense , Amur corktree,2019,NA,"c(1827536.8652668, 2188027.12358641)",CentralPark
Quercus acutissima , sawtooth oak,2019,NA,"c(1827886.88398063, 2186979.47992637)",CentralPark
Gleditsia triacanthos var. inermis , Thornless honeylocust,2019,NA,"c(1827654.31075941, 2185732.81263413)",CentralPark
Quercus acutissima , sawtooth oak,2019,NA,"c(1827895.7062071, 2186984.33888306)",CentralPark
Gleditsia triacanthos var. inermis , Thornless honeylocust,2019,NA,"c(1827654.9541934, 2185771.07081798)",CentralPark
Quercus acutissima , sawtooth oak,2019,NA,"c(1827916.88775401, 2186977.23136002)",CentralPark
Quercus acutissima , sawtooth oak,2019,NA,"c(1827899.10158559, 2186975.11709217)",CentralPark
Gleditsia triacanthos var. inermis , Thornless honeylocust,2019,NA,"c(1827712.93332146, 2185716.06236785)",CentralPark
Amelanchier , serviceberry,2019,NA,"c(1827905.39851281, 2186984.82458615)",CentralPark
Ulmus americana , American elm,2019,NA,"c(1828213.32169344, 2187505.10266203)",CentralPark
Ulmus americana , American elm,2019,NA,"c(1828213.67562828, 2187520.46956098)",CentralPark
Ulmus americana , American elm,2019,NA,"c(1828208.77603509, 2187512.66684445)",CentralPark
Ulmus americana , American elm,2019,NA,"c(1828211.33398323, 2187510.39119972)",CentralPark
Gleditsia triacanthos var. inermis , Thornless honeylocust,2019,NA,"c(1827717.61481747, 2185693.26823784)",CentralPark
Ulmus americana 'Princeton' , 'Princeton' American elm,2018,NA,"c(1827803.49716305, 2185892.76462404)",CentralPark
Ulmus americana 'Princeton' , 'Princeton' American elm,2018,NA,"c(1827702.03187217, 2185502.29398109)",CentralPark
Quercus palustris , pin oak,2018,NA,"c(1826947.84177461, 2185922.86545195)",CentralPark
Quercus palustris , pin oak,2018,NA,"c(1827800.99926774, 2189028.34958655)",CentralPark
Ulmus americana 'Princeton' , 'Princeton' American elm,2018,NA,"c(1827779.42896687, 2185800.0283811)",CentralPark
Ulmus americana 'Princeton' , 'Princeton' American elm,2018,NA,"c(1827734.61103606, 2185635.6690002)",CentralPark
Gleditsia triacanthos var. inermis , Thornless honeylocust,2018,NA,"c(1827697.64418052, 2185747.54557698)",CentralPark
Gleditsia triacanthos var. inermis , Thornless honeylocust,2018,NA,"c(1827673.69326898, 2185727.37077206)",CentralPark
Ailanthus altissima , tree of heaven,2018,NA,"c(1827681.53453928, 2185696.04719854)",CentralPark
Platanus x acerifolia , London planetree,2017,NA,"c(1827753.82215589, 2186604.66757502)",CentralPark
Quercus rubra , northern red oak,2017,NA,"c(1827483.50414292, 2186382.73298408)",CentralPark
Betula populifolia , gray birch,2017,NA,"c(1827088.76323191, 2186175.05109638)",CentralPark
Betula populifolia , gray birch,2017,NA,"c(1827093.58530566, 2186169.74519109)",CentralPark
Betula populifolia , gray birch,2017,NA,"c(1827099.95002515, 2186165.89949121)",CentralPark
Betula populifolia , gray birch,2017,NA,"c(1827085.31060878, 2186183.69536534)",CentralPark
Quercus , Oak,2017,NA,"c(1826944.62189398, 2185912.51146844)",CentralPark
Betula populifolia , gray birch,2017,NA,"c(1827079.49247562, 2186188.08111249)",CentralPark
Morus , mulberry,2017,NA,"c(1827490.88667381, 2187868.78044218)",CentralPark
Quercus palustris 'Green Pillar' , 'Green Pillar' Pin oak,2017,NA,"c(1827268.74436762, 2187097.05594915)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828687.82940779, 2189382.82146692)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828610.2642848, 2189402.29929683)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828284.92582641, 2189499.14020394)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828488.54204399, 2189440.64637426)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828735.6867416, 2189275.07498015)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828682.37867807, 2189090.72946254)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828369.97017331, 2189474.12940485)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828633.42103645, 2188911.37435759)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828023.21681135, 2189571.72514691)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828317.59827498, 2189486.50008789)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828687.05142652, 2189096.90163561)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828118.15660725, 2189544.47655163)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828654.83223254, 2188978.86762475)",CentralPark
Zelkova serrata , Japanese zelkova,2016,NA,"c(1828485.05724098, 2188370.2426538)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828716.78584697, 2189371.3910156)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828593.55854655, 2188765.33806507)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828517.89014458, 2189432.13076354)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828638.21339818, 2189394.18964264)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828390.50178066, 2189465.05988823)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828426.13245011, 2189457.61253746)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828678.20212339, 2189075.42887688)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828160.97426643, 2189532.18754827)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828048.70906896, 2189564.40867398)",CentralPark
Quercus palustris , pin oak,2016,NA,"c(1826979.7756016, 2186040.68355615)",CentralPark
Zelkova serrata , Japanese zelkova,2016,NA,"c(1828520.12766538, 2188496.5663535)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828071.77204023, 2186861.1889968)",CentralPark
Zelkova serrata , Japanese zelkova,2016,NA,"c(1828492.91982509, 2188398.56375812)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828588.53543025, 2189411.63247525)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828666.0594142, 2189030.94443016)",CentralPark
Zelkova serrata , Japanese zelkova,2016,NA,"c(1828544.69120744, 2188585.48756387)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828715.43280664, 2189200.87549403)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828132.27350501, 2189540.42490018)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828050.94759903, 2186784.89084459)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828659.79276266, 2189390.95643453)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828566.95615058, 2189414.86555181)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828694.40329504, 2189377.88554484)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828589.55950358, 2188750.68706389)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828082.49470424, 2186900.47528069)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828126.12339304, 2189545.21609094)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828699.7746003, 2189143.51263598)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828722.87045081, 2189239.06955297)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828621.66540305, 2188868.30771845)",CentralPark
Ulmus parvifolia , Chinese elm,2016,NA,"c(1828070.32612251, 2189561.23030526)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828058.36477144, 2186812.06629265)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828348.13978869, 2189477.51812253)",CentralPark
Zelkova serrata , Japanese zelkova,2016,NA,"c(1828540.83899238, 2188571.17681644)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828538.686411, 2189423.06824615)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828432.71825707, 2189452.64451201)",CentralPark
Zelkova serrata , Japanese zelkova,2016,NA,"c(1828561.02332768, 2188646.16082057)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828730.49800579, 2189267.01243401)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828325.33713797, 2189487.25556718)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828242.44732942, 2189511.63257029)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828277.47814636, 2189498.29905939)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828079.51171946, 2186889.54598053)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828064.43551822, 2186834.30890772)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828603.13661892, 2189407.39583828)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828510.21262958, 2189431.33021808)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828694.40847026, 2189134.80020921)",CentralPark
Ulmus parvifolia , Chinese elm,2016,NA,"c(1828650.09493618, 2188972.45909899)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828412.09915119, 2189461.73973782)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828661.80224298, 2189015.34830678)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828017.06651047, 2189576.51628386)",CentralPark
Zelkova serrata , Japanese zelkova,2016,NA,"c(1828553.04823335, 2188616.53384924)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828631.72701399, 2189399.10012603)",CentralPark
Zelkova serrata , Japanese zelkova,2016,NA,"c(1828579.84024419, 2188718.90982291)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828665.40486222, 2189386.2997371)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828601.42791903, 2188794.16706814)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828714.48508574, 2189208.34983053)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828546.2183374, 2189423.91119303)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828701.46878362, 2189378.86383012)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828076.70975338, 2189556.372239)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828262.89166115, 2189502.58870707)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828657.99657765, 2189001.40637653)",CentralPark
Zelkova serrata , Japanese zelkova,2016,NA,"c(1828512.49437812, 2188469.07147136)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828383.42120113, 2189470.1736896)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828596.24588318, 2189406.36694642)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828702.45521822, 2189164.27929645)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828156.10738206, 2189536.61040306)",CentralPark
Zelkova serrata , Japanese zelkova,2016,NA,"c(1828496.52351624, 2188411.54423297)",CentralPark
Zelkova serrata , Japanese zelkova,2016,NA,"c(1828500.45486567, 2188425.70469503)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828042.12139061, 2189569.32523377)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828625.64857884, 2188882.89956461)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828055.89784643, 2186803.02743377)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828440.45702475, 2189453.39982602)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828727.63999338, 2189245.59605806)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828613.6027207, 2188838.76971815)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828356.05323138, 2189478.22236862)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828675.08617529, 2189053.06708278)",CentralPark
Zelkova serrata , Japanese zelkova,2016,NA,"c(1828568.8073532, 2188675.0781726)",CentralPark
Zelkova serrata , Japanese zelkova,2016,NA,"c(1828564.92323594, 2188660.64912328)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828234.85403348, 2189510.83421368)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828707.36990635, 2189171.33754259)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828009.04147105, 2189575.79359845)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828074.28744182, 2186870.405078)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828576.18925847, 2188704.28978575)",CentralPark
Zelkova serrata , Japanese zelkova,2016,NA,"c(1828481.6174369, 2188357.85221491)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828731.54244455, 2189259.89242651)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828398.18233206, 2189465.83247508)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828651.73625938, 2189390.26580945)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828532.17076765, 2189427.98728655)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828718.72617407, 2189223.88693255)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828503.25983301, 2189436.37591637)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828629.74445323, 2188897.90503117)",CentralPark
Zelkova serrata , Japanese zelkova,2016,NA,"c(1828516.60591341, 2188483.88100788)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828084.32657925, 2189557.21214503)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828690.29642034, 2189119.73589771)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828746.1562792, 2189324.37523661)",CentralPark
Zelkova serrata , Japanese zelkova,2016,NA,"c(1828504.46801487, 2188440.1603719)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828066.80582407, 2186842.99332137)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828298.08567342, 2189495.26990246)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828623.93287558, 2189398.33329489)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828404.85539859, 2189460.83869829)",CentralPark
Zelkova serrata , Japanese zelkova,2016,NA,"c(1828524.5667103, 2188512.55597029)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828703.2577576, 2189156.27308202)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828147.23640421, 2189536.13049636)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828303.71056708, 2189490.58427297)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828060.79956678, 2186820.98704323)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828056.23841615, 2189565.27362661)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828707.78031958, 2189374.00404769)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828552.73379873, 2189418.99237165)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828270.54306832, 2189503.369965)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828376.46838646, 2189469.18692803)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828674.17064378, 2189060.6598105)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828037.65463232, 2189567.58137415)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828331.63161177, 2189482.37304544)",CentralPark
Zelkova serrata , Japanese zelkova,2016,NA,"c(1828528.38339806, 2188526.30351532)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828658.78299954, 2188993.34121787)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828673.08240639, 2189387.10040599)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828739.52469985, 2189289.13501443)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828183.20385814, 2189528.83329161)",CentralPark
Zelkova serrata , Japanese zelkova,2016,NA,"c(1828488.82488658, 2188383.81312374)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828256.97565796, 2189507.35994609)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828575.18740982, 2189415.50558847)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828726.88582667, 2189253.77939952)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828691.17955593, 2189112.02507202)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828637.69435039, 2188927.02956827)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828683.21350902, 2189082.84151767)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1827996.52874147, 2189579.38488824)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828361.73638612, 2189473.51954224)",CentralPark
Zelkova serrata , Japanese zelkova,2016,NA,"c(1828548.98908306, 2188601.45422625)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828646.06587841, 2189394.93949621)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828495.78627992, 2189435.51612836)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828311.4202225, 2189491.34839741)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828291.19113839, 2189494.2661429)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828111.30227273, 2189546.44386304)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828679.03698455, 2189067.54080653)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828168.88273607, 2189532.94367033)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828524.60976797, 2189427.15268487)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828617.30068689, 2189403.28599885)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828418.68489503, 2189456.77143562)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828723.65702609, 2189231.00424922)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828048.83541497, 2186777.15167328)",CentralPark
Zelkova serrata , Japanese zelkova,2016,NA,"c(1828557.10743242, 2188631.61354722)",CentralPark
Ulmus parvifolia , Chinese elm,2016,NA,"c(1828062.33027978, 2189560.49930796)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828341.11731871, 2189482.61482332)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828076.6254657, 2186878.97121359)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828666.47498528, 2189021.5204842)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828140.91119741, 2189540.97180982)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828616.97294531, 2188851.11659176)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828446.19833402, 2189448.67997281)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828609.47450889, 2188823.64622013)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828710.4213021, 2189193.46276997)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828734.80362924, 2189282.78573502)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828175.70372343, 2189527.95997163)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828249.0039203, 2189506.67300596)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828581.61566787, 2189410.61200549)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828654.04576325, 2188986.93270742)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828698.31089114, 2189149.09665262)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828031.85450611, 2189572.27206906)",CentralPark
Zelkova serrata , Japanese zelkova,2016,NA,"c(1828537.11418653, 2188557.75167448)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828053.28567715, 2186793.45700034)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828085.96136697, 2186913.17686176)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1828597.50934472, 2188779.81169712)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828679.77287315, 2189382.13070572)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1828561.02341506, 2189419.6153715)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1827700.63385715, 2185504.99159612)",CentralPark
Ginkgo biloba , maidenhair tree,2016,NA,"c(1827957.25009173, 2189563.91771586)",CentralPark
Platanus x acerifolia , London planetree,2016,NA,"c(1827677.43285956, 2185415.90608504)",CentralPark
Quercus palustris , pin oak,2016,NA,"c(1827904.4926065, 2189416.30092709)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1827707.98415415, 2185532.12274758)",CentralPark
Platanus x acerifolia , London planetree,2016,NA,"c(1827379.97843345, 2185458.73302837)",CentralPark
Ulmus americana , American elm,2016,NA,"c(1827756.55370107, 2185711.40138449)",CentralPark
Quercus palustris , pin oak,2016,NA,"c(1826995.57915639, 2186098.24528806)",CentralPark
