x,y,SVI,park,SocioEco,Minority
-73.90416709055623,40.84583281020819,0.0843999981880188,Crotonoa,0.07599999755620956,0.5544000267982483
-73.89583375725623,40.84583281020819,0.0843999981880188,Crotonoa,0.07599999755620956,0.5544000267982483
-73.88750042395621,40.84583281020819,0.12939999997615814,Crotonoa,0.13740000128746033,0.8547000288963318
-73.87916709065621,40.84583281020819,0.5680000185966492,Crotonoa,0.5799000263214111,0.8234999775886536
-73.90416709055623,40.83749947690821,0.5576000213623047,Crotonoa,0.4302999973297119,0.965399980545044
-73.89583375725623,40.83749947690821,0.5576000213623047,Crotonoa,0.4302999973297119,0.965399980545044
-73.88750042395621,40.83749947690821,0.1678999960422516,Crotonoa,0.3407000005245209,0.6478000283241272
-73.87916709065621,40.83749947690821,0.6111000180244446,Crotonoa,0.4887000024318695,0.8812999725341797
-73.90416709055623,40.82916614360822,0.0908999964594841,Crotonoa,0.19660000503063202,0.9621000289916992
-73.89583375725623,40.82916614360822,0.0908999964594841,Crotonoa,0.19660000503063202,0.9621000289916992
-73.88750042395621,40.82916614360822,0.2563000023365021,Crotonoa,0.33500000834465027,0.6399000287055969
-73.87916709065621,40.82916614360822,0.5113999843597412,Crotonoa,0.29670000076293945,0.930400013923645
-73.93750042375626,40.86249947680815,0.2978000044822693,HighbridgeMAN,0.2924000024795532,0.5356000065803528
-73.92916709045625,40.86249947680815,0.3197000026702881,HighbridgeMAN,0.29019999504089355,0.7692999839782715
-73.92083375715625,40.86249947680815,0.3197000026702881,HighbridgeMAN,0.29019999504089355,0.7692999839782715
-73.94583375705626,40.854166143508174,0.18930000066757202,HighbridgeMAN,0.30379998683929443,0.7080000042915344
-73.93750042375626,40.854166143508174,0.2978000044822693,HighbridgeMAN,0.2924000024795532,0.5356000065803528
-73.92916709045625,40.854166143508174,0.415800005197525,HighbridgeMAN,0.26600000262260437,0.946399986743927
-73.92083375715625,40.854166143508174,0.6410999894142151,HighbridgeMAN,0.5532000064849854,0.5945000052452087
-73.94583375705626,40.84583281020819,0.511900007724762,HighbridgeMAN,0.22540000081062317,0.9240999817848206
-73.93750042375626,40.84583281020819,0.511900007724762,HighbridgeMAN,0.22540000081062317,0.9240999817848206
-73.92916709045625,40.84583281020819,0.415800005197525,HighbridgeMAN,0.26600000262260437,0.946399986743927
-73.92083375715625,40.84583281020819,0.6381000280380249,HighbridgeMAN,0.6373999714851379,0.9682999849319458
-73.94583375705626,40.8374994769082,0.511900007724762,HighbridgeMAN,0.22540000081062317,0.9240999817848206
-73.93750042375626,40.8374994769082,0.511900007724762,HighbridgeMAN,0.22540000081062317,0.9240999817848206
-73.92916709045625,40.8374994769082,0.8087000250816345,HighbridgeMAN,0.849399983882904,0.753600001335144
-73.92083375715625,40.8374994769082,0.2653000056743622,HighbridgeMAN,0.3246999979019165,0.4099000096321106
-73.94583375705626,40.82916614360822,0.4345000088214874,HighbridgeMAN,0.5618000030517578,0.7570000290870667
-73.93750042375626,40.82916614360822,0.4345000088214874,HighbridgeMAN,0.5618000030517578,0.7570000290870667
-73.92916709045625,40.82916614360822,0.765999972820282,HighbridgeMAN,0.4611999988555908,0.7412999868392944
-73.92083375715625,40.82916614360822,0.10300000011920929,HighbridgeMAN,0.25870001316070557,0.5371000170707703
-73.92083375715625,40.87916614340813,0.3370000123977661,Inwood,0.4424000084400177,0.732200026512146
-73.91250042385624,40.87916614340813,0.33660000562667847,Inwood,0.20469999313354492,0.784500002861023
-73.92916709045625,40.87083281010814,0.3197000026702881,Inwood,0.29019999504089355,0.7692999839782715
-73.92083375715625,40.87083281010814,0.23029999434947968,Inwood,0.15889999270439148,0.7276999950408936
-73.91250042385624,40.87083281010814,0.33660000562667847,Inwood,0.20469999313354492,0.784500002861023
-73.92916709045625,40.86249947680816,0.3197000026702881,Inwood,0.29019999504089355,0.7692999839782715
-73.92083375715625,40.86249947680816,0.3197000026702881,Inwood,0.29019999504089355,0.7692999839782715
-73.91250042385624,40.86249947680816,0.11550000309944153,Inwood,0.10090000182390213,0.6201000213623047
-73.96250042365628,40.81249947700825,0.25279998779296875,Morningside,0.08950000256299973,0.6960999965667725
-73.95416709035628,40.81249947700825,0.25279998779296875,Morningside,0.08950000256299973,0.6960999965667725
-73.96250042365628,40.80416614370827,0.25279998779296875,Morningside,0.08950000256299973,0.6960999965667725
-73.95416709035628,40.80416614370827,0.25279998779296875,Morningside,0.08950000256299973,0.6960999965667725
-73.83750042415616,40.86249947680816,0.909600019454956,Pelham,0.8467000126838684,0.47369998693466187
-73.82916709085616,40.86249947680816,0.8603000044822693,Pelham,0.4781999886035919,0.87220001220703125
-73.82083375755616,40.86249947680816,0.8289999961853027,Pelham,0.6284999847412109,0.7422000169754028
-73.81250042425614,40.86249947680816,0.7990000247955322,Pelham,0.6305000185966492,0.9714999794960022
-73.80416709095614,40.86249947680816,0.7990000247955322,Pelham,0.6305000185966492,0.9714999794960022
-73.83750042415616,40.85416614350818,0.87779998779296875,Pelham,0.9179999828338623,0.9293000102043152
-73.82916709085616,40.85416614350818,0.582099974155426,Pelham,0.4406999945640564,0.8533999919891357
-73.83750042415616,40.845832810208194,0.6043999791145325,Pelham,0.4235999882221222,0.41100001335144043
-73.82916709085616,40.845832810208194,0.6043999791145325,Pelham,0.4235999882221222,0.41100001335144043
-73.82083375755616,40.845832810208194,0.6894000172615051,Pelham,0.7620000243186951,0.8216000199317932
-73.81250042425614,40.845832810208194,0.6894000172615051,Pelham,0.7620000243186951,0.8216000199317932
