DATE,PM2.5,PM10,CO2,TEMPERATURE,HUMIDITY
2023-11-18 10:38:17,2.2,3.2,404,54,80.2
2023-11-18 10:39:17,2,3.1,403,53.7,80.7
2023-11-18 10:40:17,2.1,3.6,404,53.6,82.3
2023-11-18 10:41:17,1.8,2.8,409,53.7,82.6
2023-11-18 10:42:16,1.6,2.4,407,53.4,82.3
2023-11-18 10:43:16,1.5,2.2,407,53.4,83.4
2023-11-18 10:44:16,1.4,2.2,408,53.4,82.4
2023-11-18 10:45:17,1.1,1.7,409,53.4,83.1
2023-11-18 10:46:17,1.3,2.1,406,53.4,82.5
2023-11-18 10:47:17,0.7,1.1,405,53.3,83.3
2023-11-18 10:48:17,1.1,1.7,403,53.3,82.9
2023-11-18 10:49:16,0.8,1.2,403,52.9,84.2
2023-11-18 10:50:16,0.6,0.7,404,52.8,84.5
2023-11-18 10:51:16,0.5,0.7,403,52.8,85
2023-11-18 10:52:17,0.6,1,405,53,83.5
2023-11-18 10:53:17,0.5,0.9,410,52.8,84.7
2023-11-18 10:54:17,0.6,0.8,409,52.6,83.9
2023-11-18 10:55:17,0.5,0.7,409,52.6,84.1
2023-11-18 10:56:17,0.4,0.6,407,52.7,84.4
2023-11-18 10:57:16,0.4,0.5,407,52.6,83.6
2023-11-18 10:58:17,0.4,0.6,404,52.6,83.9
2023-11-18 10:59:17,0.3,0.5,402,52.2,84.7
2023-11-18 11:00:17,0.4,0.7,399,52,85.1
2023-11-18 11:01:17,0.3,0.5,397,52.1,85.2
2023-11-18 11:02:17,0.4,0.6,396,52.2,85.6
2023-11-18 11:03:17,1.2,2.2,398,52.5,85.1
2023-11-18 11:04:16,0.5,0.9,393,52.8,83.5
2023-11-18 11:05:17,0.5,0.8,393,52.8,83.9
2023-11-18 11:06:17,0.2,0.4,395,52.5,84.2
2023-11-18 11:07:17,0.2,0.2,395,52.3,85
2023-11-18 11:08:17,0.4,0.5,393,52.4,85
2023-11-18 11:09:17,0.2,0.3,394,52.4,85.2
2023-11-18 11:10:17,0.2,0.2,397,52.6,85.2
2023-11-18 11:11:17,0.3,0.4,396,52.9,85
2023-11-18 11:12:17,0.3,0.4,398,53.2,85
2023-11-18 11:13:17,0.5,0.9,399,53.5,84.4
2023-11-18 11:14:17,0.4,0.7,401,53.8,83.6
2023-11-18 11:15:17,0.5,0.9,404,54,83.9
2023-11-18 11:16:17,0.8,1.4,407,54.3,84.1
2023-11-18 11:17:17,0.7,1.4,410,54.6,83.4
2023-11-18 11:18:17,0.6,1,408,54.5,82.1
2023-11-18 11:19:17,0.4,0.8,412,54.3,81.3
2023-11-18 11:20:17,0.6,0.9,423,54.5,82.1
2023-11-18 11:21:17,0.7,0.9,417,54.8,81.8
2023-11-18 11:22:17,0.4,0.6,412,55.1,81.2
2023-11-18 11:23:17,0.3,0.6,410,55.3,80.6
2023-11-18 11:24:18,0.4,0.7,410,55.4,80.4
2023-11-18 11:25:17,0.4,0.7,412,55.6,79.6
2023-11-18 11:26:17,0.5,0.9,412,55.4,79.3
2023-11-18 11:27:17,0.5,0.8,411,55.1,78.4
2023-11-18 11:28:17,0.4,0.7,411,54.6,78.8
2023-11-18 11:29:17,0.3,0.4,409,54.2,80.1
2023-11-18 11:30:17,0.6,0.8,405,54,79.7
2023-11-18 11:31:18,0.7,1,405,54.1,80.4
2023-11-18 11:32:17,0.4,0.8,403,54.3,80.1
2023-11-18 11:33:17,0.6,0.8,398,54.5,78.2
2023-11-18 11:34:17,0.2,0.2,398,54.2,78.9
2023-11-18 11:35:17,0.4,0.7,405,54.1,79.3
2023-11-18 11:36:17,0.4,0.6,408,54.2,78.7
2023-11-18 11:37:18,0.4,0.5,405,54.3,78.7
2023-11-18 11:38:18,0.5,0.8,400,54.5,78.5
2023-11-18 11:39:17,0.6,0.9,399,54.4,77.3
2023-11-18 11:40:17,0.4,0.5,400,54.1,77.6
2023-11-18 11:41:17,0.5,0.6,399,53.7,77.4
2023-11-18 11:42:17,0.9,1.6,406,53.9,78.2
2023-11-18 11:43:18,0.6,1.2,406,54.1,78.4
2023-11-18 11:44:19,0.7,1.2,405,54.1,78.2
2023-11-18 11:45:19,0.7,0.9,403,54.3,77.1
2023-11-18 11:46:18,0.5,0.9,405,54.1,77.4
2023-11-18 11:47:18,1.1,1.8,403,54.1,77.3
2023-11-18 11:48:18,0.8,1.4,406,54.1,77.4
2023-11-18 11:49:18,0.7,1.2,405,54.3,77
2023-11-18 11:50:19,0.7,1.2,406,54.2,76
2023-11-18 11:51:19,1.1,1.5,408,54.3,75.6
2023-11-18 11:52:19,1,1.5,407,54.4,74.7
2023-11-18 11:53:18,1.1,1.8,408,54.5,71.8
2023-11-18 11:54:18,1.2,1.9,407,53.9,73.1
2023-11-18 11:55:18,1.1,1.8,406,53.8,74.3
2023-11-18 11:56:19,1.1,1.7,411,54,74.2
2023-11-18 11:57:20,1.3,2.3,410,54.2,72.2
2023-11-18 11:58:20,1.1,1.8,406,54.2,73.1
2023-11-18 11:59:20,0.9,1.4,405,54.7,74.5
2023-11-18 12:00:20,1.2,1.9,406,55.1,73.1
2023-11-18 12:01:20,1,1.5,422,55.3,71.8
2023-11-18 12:02:19,0.8,1.2,411,55.1,70.9
2023-11-18 12:03:19,0.7,1,408,55,71.5
2023-11-18 12:04:19,0.9,1.4,406,55,72
2023-11-18 12:05:20,0.6,0.9,404,55.6,69.2
2023-11-18 12:06:20,0.9,1.3,401,55.1,72.2
2023-11-18 12:07:20,0.8,1.1,403,54.9,70.7
2023-11-18 12:08:20,1,1.9,402,54.6,70.6
2023-11-18 12:09:20,1.1,1.9,408,54.9,69.5
2023-11-18 12:10:20,1.1,1.9,399,54.4,70.6
2023-11-18 12:11:20,0.7,1,410,54.1,71.5
2023-11-18 12:12:19,1,1.6,403,54,72.1
2023-11-18 12:13:19,0.9,1.4,396,54.1,71.2
2023-11-18 12:14:20,0.9,1.4,390,54,71
2023-11-18 12:15:20,0.8,1.3,390,53.9,72.2
