PARK,BOROUGH,SIZE (ACRES),CATEGORY,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL,YEAR,QUARTER
RORY STAUNTON FIELD,QUEENS,0.574,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2023,q3
COBBLE HILL PARK,BROOKLYN,0.585,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2023,q3
ELTON PLAYGROUND,BROOKLYN,0.622,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2023,q3
VESUVIO PLAYGROUND,MANHATTAN,0.635,BASKETBALL & POOL LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2023,q3
FRED SAMUEL PLAYGROUND,MANHATTAN,0.688,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2023,q3
TECUMSEH PLAYGROUND,MANHATTAN,0.738,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2023,q3
SAMUEL N. BENNERSON 2ND PLAYGROUND,MANHATTAN,0.749,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2023,q3
PLAYGROUND SEVENTY FIVE,QUEENS,0.749,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2023,q3
DREW PLAYGROUND,BRONX,0.94,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2023,q3
MAPLE PLAYGROUND,QUEENS,0.978,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0,2023,q3
CHESTER PLAYGROUND,BROOKLYN,1,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
JACKIE ROBINSON PLAYGROUND,BROOKLYN,1,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
PLANEVIEW PARK,QUEENS,1.035,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
SEDGWICK PLAYGROUND,BRONX,1.054,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
LOPEZ PLAYGROUND,STATEN ISLAND,1.115,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
FIDLER-WYCKOFF HOUSE PARK,BROOKLYN,1.13,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
TOAD HALL PLAYGROUND,STATEN ISLAND,1.145,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
GROVE HILL PLAYGROUND,BRONX,1.186,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
KOREAN WAR VETERANS PLAZA,BROOKLYN,1.195,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
FRESH MEADOWS PARK,QUEENS,1.23,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
HECKSCHER PLAYGROUND,BROOKLYN,1.24,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
TANAHEY PLAYGROUND,MANHATTAN,1.254,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2023,q3
