PARK,BOROUGH,SIZE (ACRES),CATEGORY,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL,YEAR,QUARTER
PELHAM BAY PARK,BRONX,2771.747,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
VAN CORTLANDT PARK,BRONX,1146.43,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
ROCKAWAY BEACH AND BOARDWALK,QUEENS,1072.564,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
FRESHKILLS PARK,STATEN ISLAND,913.32,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
FLUSHING MEADOWS CORONA PARK,QUEENS,897.69,ONE ACRE OR LARGER,0,0,2,1,0,3,0,6,2021,q1
LATOURETTE PARK & GOLF COURSE,STATEN ISLAND,843.97,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
MARINE PARK,BROOKLYN,798,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
BELT PARKWAY/SHORE PARKWAY,BROOKLYN/QUEENS,760.43,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
BRONX PARK,BRONX,718.373,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
FRANKLIN D. ROOSEVELT BOARDWALK AND BEACH,STATEN ISLAND,644.35,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
ALLEY POND PARK,QUEENS,635.514,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
PROSPECT PARK,BROOKLYN,526.25,ONE ACRE OR LARGER,0,0,0,1,0,0,0,1,2021,q1
FOREST PARK,QUEENS,506.86,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
GRAND CENTRAL PARKWAY,QUEENS,460.16,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
FERRY POINT PARK,BRONX,413.8,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
CONEY ISLAND BEACH & BOARDWALK,BROOKLYN,399.203,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1,2021,q1
CUNNINGHAM PARK,QUEENS,358,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
RICHMOND PARKWAY,STATEN ISLAND,350.983,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
CROSS ISLAND PARKWAY,QUEENS,326.895,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
GREAT KILLS PARK,STATEN ISLAND,315.094,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
WOLFE'S POND PARK,STATEN ISLAND,302.693,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
CONFERENCE HOUSE PARK,STATEN ISLAND,286.382,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
RANDALL'S ISLAND PARK,MANHATTAN,256.111,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
ROCKAWAY COMMUNITY PARK,QUEENS,255.4,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
KISSENA PARK,QUEENS,237.147,ONE ACRE OR LARGER,0,0,4,0,0,0,0,4,2021,q1
RIVERSIDE PARK,MANHATTAN,235.765,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1,2021,q1
HUTCHINSON RIVER PARKWAY,BRONX,229.14,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
BLUE HERON PARK,STATEN ISLAND,217.45,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
DYKER BEACH PARK,BROOKLYN,216.655,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
WILLOWBROOK PARK,STATEN ISLAND,214.947,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
STATEN ISLAND INDUSTRIAL PARK,STATEN ISLAND,210.928,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
SILVER LAKE PARK,STATEN ISLAND,205.977,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
BRONX RIVER PARKWAY,BRONX,205.647,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
SOUNDVIEW PARK,BRONX,205.31,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
BELT PARKWAY,QUEENS,202.647,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
WILLOWBROOK PARKWAY,STATEN ISLAND,198.481,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
INWOOD HILL PARK,MANHATTAN,196.398,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
CLOVE LAKES PARK,STATEN ISLAND,193.423,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
FORT WASHINGTON PARK,MANHATTAN,184.143,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
IDLEWILD PARK,QUEENS,180.85,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
WARDS ISLAND PARK,MANHATTAN,176.581,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
SOUTH SHORE COUNTRY CLUB,STATEN ISLAND,173.994,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
SAW MILL CREEK MARSH,STATEN ISLAND,171.778,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
BLOOD ROOT VALLEY,STATEN ISLAND,161.242,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
JAMAICA BAY PARK,QUEENS,149.54,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
KISSENA CORRIDOR PARK,QUEENS,146.81,ONE ACRE OR LARGER,0,0,3,0,0,1,0,4,2021,q1
HIGHLAND PARK,BROOKLYN/QUEENS,146.339,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1,2021,q1
ARDEN WOODS,STATEN ISLAND,145.864,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
RIVERDALE PARK,BRONX,144.29,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
OCEAN PARKWAY MALLS,BROOKLYN,140,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
BLOOMINGDALE PARK,STATEN ISLAND,138.1,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
OCEAN BREEZE PARK,STATEN ISLAND,136.568,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
CANARSIE PARK,BROOKLYN,132.2,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
HIGHBRIDGE PARK MANHATTAN SIDE,MANHATTAN,130.1,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
CROTONA PARK,BRONX,127.5,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1,2021,q1
PAERDEGAT BASIN PARK,BROOKLYN,118.795,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
HOOK CREEK PARK,QUEENS,111.163,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
CRESCENT BEACH PARK,STATEN ISLAND,110.96,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
CLEARVIEW PARK GOLF COURSE,QUEENS,110.93,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
BAISLEY POND PARK,QUEENS,109.609,ONE ACRE OR LARGER,1,0,0,1,0,0,0,2,2021,q1
PELHAM PARKWAY,BRONX,108.91,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
PRALLS ISLAND,STATEN ISLAND,107.514,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
MARINERS MARSH PARK,STATEN ISLAND,107.2,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
DOUGLASTON PARK GOLF COURSE,QUEENS,104.6,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
LEMON CREEK PARK,STATEN ISLAND,104.545,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
SPRING CREEK PARK,BROOKLYN/QUEENS,99.566,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
HIGH ROCK PARK,STATEN ISLAND,94.1,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
LONG POND PARK,STATEN ISLAND,91.948,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
BROOKVILLE PARK,QUEENS,89.946,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
ISLE OF MEADOWS,STATEN ISLAND,87.516,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
CALVERT VAUX PARK,BROOKLYN,85.527,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
PUGSLEY CREEK PARK,BRONX,83.615,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
SNUG HARBOR CULTURAL CENTER,STATEN ISLAND,83.3,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
MOSHOLU PARKWAY,BRONX,80.936,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1,2021,q1
MCGUIRE FIELDS,BROOKLYN,77.181,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
FRESH CREEK NATURE PRESERVE,BROOKLYN,77.044,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
JACKIE ROBINSON PARKWAY,BROOKLYN/QUEENS,72.75,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
FORT TRYON PARK,MANHATTAN,67.213,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1,2021,q1
RIVERSIDE PARK SOUTH,MANHATTAN,66.693,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1,2021,q1
EASTERN PARKWAY,BROOKLYN,65.7,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
FOUR SPARROW MARSH,BROOKLYN,64.665,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
FORT TOTTEN PARK,QUEENS,60.394,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
ASTORIA PARK,QUEENS,59.956,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
LAURELTON PARKWAY,QUEENS,59.612,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
RED HOOK RECREATION AREA,BROOKLYN,58.503,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
SHORE PARK AND PARKWAY,BROOKLYN,58,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
SPRING CREEK PARK ADDITION,BROOKLYN/QUEENS,57.921,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
JUNIPER VALLEY PARK,QUEENS,55.639,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
LITTLE BAY PARK,QUEENS,55.22,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
POWELL'S COVE PARK,QUEENS,55.023,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
HENRY HUDSON PARKWAY,BRONX,54.1,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
HARLEM RIVER PARK,MANHATTAN,53.967,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1,2021,q1
DUBOS POINT WILDLIFE SANCTUARY,QUEENS,53.298,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
ROY WILKINS RECREATION CENTER,QUEENS,53.238,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
REED'S BASKET WILLOW SWAMP PARK,STATEN ISLAND,52.375,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
BROOKLYN BOTANIC GARDEN,BROOKLYN,47.57,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
MEREDITH WOODS,STATEN ISLAND,47.521,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
QUEENS FARM PARK,QUEENS,47.08,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
EAST RIVER PARK,MANHATTAN,45.88,ONE ACRE OR LARGER,0,0,2,1,0,2,0,5,2021,q1
CROCHERON PARK,QUEENS,45.79,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
MACOMBS DAM PARK,BRONX,44.174,ONE ACRE OR LARGER,0,0,0,1,1,0,0,2,2021,q1
MANHATTAN BEACH PARK,BROOKLYN,42.941,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
UDALL'S PARK PRESERVE,QUEENS,42.768,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
FAIRVIEW PARK,STATEN ISLAND,42.6,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
BAYSWATER PARK,QUEENS,40.07,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
DEERE PARK,STATEN ISLAND,39.779,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
PARADE GROUND,BROOKLYN,39.5,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
CLAREMONT PARK,BRONX,38.536,ONE ACRE OR LARGER,0,0,0,1,0,0,0,1,2021,q1
BROAD CHANNEL WETLANDS,QUEENS,37.95,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
CONEY ISLAND BOAT BASIN,BROOKLYN,36.81,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
BUNKER PONDS PARK,STATEN ISLAND,36.691,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
SETON FALLS PARK,BRONX,35.771,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
MCCARREN PARK,BROOKLYN,35.713,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
ST. MARY'S PARK BRONX,BRONX,35.311,ONE ACRE OR LARGER,0,0,1,0,0,1,0,2,2021,q1
SHOOTERS ISLAND,STATEN ISLAND,34.689,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
NORTH BROTHER ISLAND,BRONX,30.395,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
FORT GREENE PARK,BROOKLYN,30.168,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
BATTERY PARK CITY,MANHATTAN,29.99,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
MORNINGSIDE PARK,MANHATTAN,29.888,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
MACNEIL PARK,QUEENS,28.87,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
ALLEY ATHLETIC PLAYGROUND,QUEENS,27.531,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
VERNAM BARBADOES PENINSULA,QUEENS,27.484,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
COLLEGE POINT FIELDS,QUEENS,26.83,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
KAISER PARK,BROOKLYN,26.257,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
SUNSET PARK,BROOKLYN,24.498,ONE ACRE OR LARGER,0,0,0,2,0,0,0,2,2021,q1
OWL'S HEAD PARK,BROOKLYN,24.218,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
SPRINGFIELD PARK,QUEENS,23.543,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
RECREATIONAL AREA,MANHATTAN,23.093,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
KING FISHER PARK,STATEN ISLAND,23.01,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
SIEDENBURG PARK,STATEN ISLAND,22.882,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
ST. NICHOLAS PARK,MANHATTAN,22.74,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1,2021,q1
SOUTH BROTHER ISLAND,BRONX,22.16,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
LOCUST POINT MARINA,BRONX,22.07,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
BATTERY PARK,MANHATTAN,21.88,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
BROOKLYN BRIDGE PARK,BROOKLYN,21.185,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1,2021,q1
ASSER LEVY PARK,BROOKLYN,21.039,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
SEASIDE WILDLIFE NATURE PARK,STATEN ISLAND,20.907,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
WAVE HILL,BRONX,20.867,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
QUEENSBRIDGE PARK,QUEENS,20.34,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
MARCUS GARVEY PARK,MANHATTAN,20.165,ONE ACRE OR LARGER,0,0,1,1,0,0,0,2,2021,q1
ISHAM PARK,MANHATTAN,20.132,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
WILLIAMSBRIDGE OVAL,BRONX,19.749,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
BRANT POINT WILDLIFE SANCTUARY,QUEENS,19.556,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
BROAD CHANNEL AMERICAN PARK,QUEENS,18.768,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
THEODORE ROOSEVELT PARK,MANHATTAN,17.574,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
BENSONHURST PARK,BROOKLYN,17.5,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1,2021,q1
LINCOLN TERRACE / ARTHUR S. SOMERS PARK,BROOKLYN,17.14,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1,2021,q1
JOHN GOLDEN PARK,QUEENS,17,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
BAYVIEW TERRACE PARK,STATEN ISLAND,16.944,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
JONES WOODS PARK,STATEN ISLAND,16.93,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
FRANCIS LEWIS PARK,QUEENS,16.831,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
LEIF ERICSON PARK,BROOKLYN,16.8,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1,2021,q1
EIBS POND PARK,STATEN ISLAND,16.505,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
RAILROAD PARK QUEENS,QUEENS,16.439,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
BREUKELEN BALLFIELDS,BROOKLYN,16.16,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
FRANZ SIGEL PARK,BRONX,15.99,ONE ACRE OR LARGER,0,0,0,1,0,0,0,1,2021,q1
THOMAS JEFFERSON PARK,MANHATTAN,15.524,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
ALICE AUSTEN PARK,STATEN ISLAND,15.524,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
MILL POND PARK,BRONX,15.496,ONE ACRE OR LARGER,0,0,0,0,1,0,0,1,2021,q1
SHERMAN CREEK,MANHATTAN,15.383,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
HARRIS PARK,BRONX,15.32,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
GOODHUE,STATEN ISLAND,15.064,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
MULLALY PARK,BRONX,15.049,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
TREMONT PARK,BRONX,15,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
CARL SCHURZ PARK,MANHATTAN,14.938,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
GRAND ARMY PLAZA BROOKLYN,BROOKLYN,14.257,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
VON BRIESEN PARK,STATEN ISLAND,13.938,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
MOTOR PARKWAY,QUEENS,13.894,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
UNNAMED PARK ON BEACH CHANNEL DRIVE & BEACH 116TH STREET TO BEACH 108TH STREET,QUEENS,13.826,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
BEACH 17 PLAYGROUND,QUEENS,13.75,ONE ACRE OR LARGER,0,0,0,1,0,0,0,1,2021,q1
TUDOR PARK,QUEENS,13.543,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
AQUEDUCT WALK,BRONX,13.533,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
FATHER MACRIS PARK,STATEN ISLAND,13.469,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
STARLIGHT PARK,BRONX,12.93,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
JACKIE ROBINSON PARK MANHATTAN,MANHATTAN,12.772,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
BROOKLYN MUSEUM,BROOKLYN,12.66,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
BEACH CHANNEL PARK,QUEENS,12.624,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
GREENBELT NATIVE PLANT CENTER,STATEN ISLAND,12.247,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
BOWNE PARK,QUEENS,11.788,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
SETON PARK,BRONX,11.689,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
RUFUS KING PARK,QUEENS,11.5,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
FRANK GOLDEN PARK,QUEENS,11.422,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
ST. JAMES PARK,BRONX,11.39,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
RICHMOND TERRACE WETLANDS,STATEN ISLAND,11.193,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
BARRETTO POINT PARK,BRONX,11.161,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
ST. ALBANS PARK,QUEENS,10.79,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
GEMINI FIELDS,QUEENS,10.761,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
GIVANS CREEK WOODS,BRONX,10.735,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
BETSY HEAD PARK,BROOKLYN,10.555,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
TOMPKINS SQUARE PARK,MANHATTAN,10.502,ONE ACRE OR LARGER,0,0,2,0,0,0,0,2,2021,q1
CPL. THOMPSON PARK,STATEN ISLAND,10.5,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
COMMODORE BARRY PARK,BROOKLYN,10.391,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
CADMAN PLAZA PARK,BROOKLYN,10.384,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
BROADWAY MALLS,MANHATTAN,10.242,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
STEEPLECHASE PARK,BROOKLYN,10.01,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
HUNTER'S POINT SOUTH PARK,QUEENS,10,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
UNNAMED PARK ON RICHMOND TERRACE,STATEN ISLAND,9.934,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
HYBRID OAK WOODS PARK,STATEN ISLAND,9.763,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
WASHINGTON SQUARE PARK,MANHATTAN,9.749,ONE ACRE OR LARGER,0,0,0,4,0,3,0,7,2021,q1
BRYANT PARK,MANHATTAN,9.603,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
ROCKAWAY FREEWAY,QUEENS,9.404,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
BICENTENNIAL VETERANS MEMORIAL PARK,BRONX,9.395,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
SUNSET COVE PARK,QUEENS,9.375,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
ST. JOHN'S RECREATION CENTER,BROOKLYN,9.339,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
LINDEN PARK,BROOKLYN,9.322,ONE ACRE OR LARGER,0,0,0,1,0,0,0,1,2021,q1
HAFFEN PARK,BRONX,9.238,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
ALLISON POND PARK,STATEN ISLAND,9.2,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
GRANITEVILLE SWAMP PARK,STATEN ISLAND,9.187,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
TOTTENVILLE SHORE PARK,STATEN ISLAND,9.181,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
CAPTAIN TILLY PARK,QUEENS,9.16,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1,2021,q1
HARVEY PARK,QUEENS,9.154,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
MSGR. MCGOLRICK PARK,BROOKLYN,9.134,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
BUSHWICK INLET PARK,BROOKLYN,9.01,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
HENRY HUDSON PARK,BRONX,8.972,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
FRANK PRINCIPE PARK,QUEENS,8.899,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
CASTLE HILL PARK,BRONX,8.834,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
ROCHDALE PARK,QUEENS,8.833,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
ABE STARK SKATING RINK,BROOKLYN,8.807,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
CITY HALL PARK,MANHATTAN,8.8,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
EAST RIVER WATERFRONT ESPLANADE,MANHATTAN,8.761,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
CROTONA PARKWAY MALLS,BRONX,8.75,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
CONEY ISLAND CREEK PARK,BROOKLYN,8.663,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
MILL ROCK PARK,MANHATTAN,8.639,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
EAST RIVER ESPLANADE E 90TH ST TO E 125TH ST,MANHATTAN,8.595,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2021,q1
