fid,acquisitio,acres,address,borough,class,communityb,councildis,department,eapply,gisobjid,gispropnum,globalid,jurisdicti,location,mapped,name311,nys_assemb,nys_senate,objectid,omppropid,parentid,permit,permitdist,permitpare,pip_ratabl,precinct,retired,signname,subcategor,typecatego,url,us_congres,waterfront,zipcode,fid_2,area_id,city,state,city_surve,category,grade,label,residentia,commercial,industrial,fill
721,1870-08-16 00:00:00.0000000,29.888000000000002,,M,PARK,109.000000000000000,7.000000000000002,M-09,Morningside Park,100005044.000000000000000,M056,D52FD362-4EAB-42D1-AD13-BFA798AB246B,DPR,"W 110 St To W 123 St, Manhattan Av To Morningside Av",True,Morningside Park,70.000000000000000,30.000000000000000,6247.000000000000000,M056,M-09,T,M-09,M-09,F,26.000000000000000,F,Morningside Park,Large Park,Community Park,http://www.nycgovparks.org/parks/M056/,13.000000000000000,F,10026.000000000000000,6605,2652,Manhattan,NY,1,Hazardous,D,D21,1,0,0,#d9838d
721,1870-08-16 00:00:00.0000000,29.888000000000002,,M,PARK,109.000000000000000,7.000000000000002,M-09,Morningside Park,100005044.000000000000000,M056,D52FD362-4EAB-42D1-AD13-BFA798AB246B,DPR,"W 110 St To W 123 St, Manhattan Av To Morningside Av",True,Morningside Park,70.000000000000000,30.000000000000000,6247.000000000000000,M056,M-09,T,M-09,M-09,F,26.000000000000000,F,Morningside Park,Large Park,Community Park,http://www.nycgovparks.org/parks/M056/,13.000000000000000,F,10026.000000000000000,6606,2649,Manhattan,NY,1,Hazardous,D,D22,1,0,0,#d9838d
721,1870-08-16 00:00:00.0000000,29.888000000000002,,M,PARK,109.000000000000000,7.000000000000002,M-09,Morningside Park,100005044.000000000000000,M056,D52FD362-4EAB-42D1-AD13-BFA798AB246B,DPR,"W 110 St To W 123 St, Manhattan Av To Morningside Av",True,Morningside Park,70.000000000000000,30.000000000000000,6247.000000000000000,M056,M-09,T,M-09,M-09,F,26.000000000000000,F,Morningside Park,Large Park,Community Park,http://www.nycgovparks.org/parks/M056/,13.000000000000000,F,10026.000000000000000,6607,2651,Manhattan,NY,1,Hazardous,D,D23,1,0,0,#d9838d
721,1870-08-16 00:00:00.0000000,29.888000000000002,,M,PARK,109.000000000000000,7.000000000000002,M-09,Morningside Park,100005044.000000000000000,M056,D52FD362-4EAB-42D1-AD13-BFA798AB246B,DPR,"W 110 St To W 123 St, Manhattan Av To Morningside Av",True,Morningside Park,70.000000000000000,30.000000000000000,6247.000000000000000,M056,M-09,T,M-09,M-09,F,26.000000000000000,F,Morningside Park,Large Park,Community Park,http://www.nycgovparks.org/parks/M056/,13.000000000000000,F,10026.000000000000000,6610,2650,Manhattan,NY,1,Hazardous,D,D26,1,0,0,#d9838d
721,1870-08-16 00:00:00.0000000,29.888000000000002,,M,PARK,109.000000000000000,7.000000000000002,M-09,Morningside Park,100005044.000000000000000,M056,D52FD362-4EAB-42D1-AD13-BFA798AB246B,DPR,"W 110 St To W 123 St, Manhattan Av To Morningside Av",True,Morningside Park,70.000000000000000,30.000000000000000,6247.000000000000000,M056,M-09,T,M-09,M-09,F,26.000000000000000,F,Morningside Park,Large Park,Community Park,http://www.nycgovparks.org/parks/M056/,13.000000000000000,F,10026.000000000000000,6619,11392,Manhattan,NY,1,Industrial and Commercial,,Industrial and Commercial,0,1,1,#000000
1398,1899-12-08 00:00:00.0000000,130.099999999999994,506 EDGECOMBE AVENUE,M,PARK,110112.000000000000000,9.999999999999998,M-12A,Highbridge Park,100005220.000000000000000,M037,973BC655-2F98-419F-890B-BA8241C9C417,DPR,"W 155 St and Dyckman St, Edgecombe Av & Amsterdam Av",True,Highbridge Park,,,6596.000000000000000,M037,M-12A,T,M-12A,M-12A,F,32.000000000000000,F,Highbridge Park,Large Park,Community Park,http://www.nycgovparks.org/parks/M037/,,T,100321003310039106060288.000000000000000,6302,2748,Bronx,NY,1,Definitely Declining,C,C2,1,0,0,#ffff00
1398,1899-12-08 00:00:00.0000000,130.099999999999994,506 EDGECOMBE AVENUE,M,PARK,110112.000000000000000,9.999999999999998,M-12A,Highbridge Park,100005220.000000000000000,M037,973BC655-2F98-419F-890B-BA8241C9C417,DPR,"W 155 St and Dyckman St, Edgecombe Av & Amsterdam Av",True,Highbridge Park,,,6596.000000000000000,M037,M-12A,T,M-12A,M-12A,F,32.000000000000000,F,Highbridge Park,Large Park,Community Park,http://www.nycgovparks.org/parks/M037/,,T,100321003310039106060288.000000000000000,6322,11383,Bronx,NY,1,Industrial,,Industrial,0,0,1,#000000
1398,1899-12-08 00:00:00.0000000,130.099999999999994,506 EDGECOMBE AVENUE,M,PARK,110112.000000000000000,9.999999999999998,M-12A,Highbridge Park,100005220.000000000000000,M037,973BC655-2F98-419F-890B-BA8241C9C417,DPR,"W 155 St and Dyckman St, Edgecombe Av & Amsterdam Av",True,Highbridge Park,,,6596.000000000000000,M037,M-12A,T,M-12A,M-12A,F,32.000000000000000,F,Highbridge Park,Large Park,Community Park,http://www.nycgovparks.org/parks/M037/,,T,100321003310039106060288.000000000000000,6573,2660,Manhattan,NY,1,Best,A,A8,1,0,0,#76a865
1398,1899-12-08 00:00:00.0000000,130.099999999999994,506 EDGECOMBE AVENUE,M,PARK,110112.000000000000000,9.999999999999998,M-12A,Highbridge Park,100005220.000000000000000,M037,973BC655-2F98-419F-890B-BA8241C9C417,DPR,"W 155 St and Dyckman St, Edgecombe Av & Amsterdam Av",True,Highbridge Park,,,6596.000000000000000,M037,M-12A,T,M-12A,M-12A,F,32.000000000000000,F,Highbridge Park,Large Park,Community Park,http://www.nycgovparks.org/parks/M037/,,T,100321003310039106060288.000000000000000,6575,2661,Manhattan,NY,1,Still Desirable,B,B10,1,0,0,#7cb5bd
1398,1899-12-08 00:00:00.0000000,130.099999999999994,506 EDGECOMBE AVENUE,M,PARK,110112.000000000000000,9.999999999999998,M-12A,Highbridge Park,100005220.000000000000000,M037,973BC655-2F98-419F-890B-BA8241C9C417,DPR,"W 155 St and Dyckman St, Edgecombe Av & Amsterdam Av",True,Highbridge Park,,,6596.000000000000000,M037,M-12A,T,M-12A,M-12A,F,32.000000000000000,F,Highbridge Park,Large Park,Community Park,http://www.nycgovparks.org/parks/M037/,,T,100321003310039106060288.000000000000000,6576,2662,Manhattan,NY,1,Still Desirable,B,B11,1,0,0,#7cb5bd
